structure_number,latitude,longitude,year_built,hwb_class,material,gmpe_model,sa1s_used,replacement_cost_usd,repair_cost_usd,p_none,p_none,p_slight,p_slight,p_moderate,p_moderate,p_extensive,p_extensive,p_complete,p_complete,predicted_ds,obs
52 0310,34.19,-118.86,1970.0,HWB3,concrete,ASK14,0.17095381801871,1351350.0,1.4387894861686304e-25,1.0,1.0,0.0,3.549003022767649e-30,0.0,5.47192796760727e-36,0.0,3.896086436917969e-41,0.0,5.737568981565265e-52,none,none
52 0311,34.22666667,-118.845,1970.0,HWB5,prestressed_concrete,ASK14,0.166832794074855,13078425.36,0.002968140037458222,1.0,0.9999999924351967,0.0,7.56469843480585e-09,0.0,1.0485665895205836e-13,0.0,4.0199641562729055e-18,0.0,1.5741991085963725e-27,none,none
52 0312,34.24333333,-118.8366667,1970.0,HWB5,concrete,ASK14,0.137609309964585,1351350.0,7.136964075015672e-07,1.0,0.9999999999823955,0.0,1.7604396247325214e-11,0.0,4.977653422971154e-17,0.0,5.781386988502437e-22,0.0,2.75170178334131e-32,none,none
52 0313,34.22,-118.8483333,1970.0,HWB3,concrete,ASK14,0.173696978268056,1351350.0,3.565351100717438e-25,1.0,1.0,0.0,8.794502015893665e-30,0.0,1.4809802398703536e-35,0.0,1.1333552324344267e-40,0.0,1.9159092286664e-51,none,none
52 0314,34.175,-118.8566667,1970.0,HWB3,prestressed_concrete,ASK14,0.14369284361585,10522166.655,3.7245126634374566e-29,1.0,1.0,0.0,1.1798922342868619e-34,0.0,6.94503620922947e-41,0.0,2.2498548823828488e-46,0.0,7.350078959375796e-58,none,none
52 0315,34.17666667,-118.86,1970.0,HWB3,concrete,ASK14,0.139058639477879,1351350.0,6.2823791029856574e-31,1.0,1.0,0.0,1.5496530336669293e-35,0.0,7.605150875876631e-42,0.0,2.123349064118503e-47,0.0,5.22048694435557e-59,none,none
52 0316,34.17666667,-118.86,1970.0,HWB3,prestressed_concrete,ASK14,0.137782811348868,12531663.144,3.2764462611757395e-30,1.0,1.0,0.0,8.715103359364274e-36,0.0,4.063906686844729e-42,0.0,1.0881841460530994e-47,0.0,2.4699110671987754e-59,none,none
52 0317,34.17666667,-118.86,1970.0,HWB1,steel,ASK14,0.140173748993596,1726725.0,1.7216861122646908e-14,1.0,1.0,0.0,3.3233952980534523e-19,0.0,7.904302346406171e-24,0.0,8.186059031797505e-32,0.0,1.4224912248365462e-38,none,none
52 0318,34.205,-118.8483333,1970.0,HWB5,prestressed_concrete,ASK14,0.164642896193536,9532464.942000002,0.001468984073836894,1.0,0.9999999948633306,0.0,5.1366055506664924e-09,0.0,6.385872241828257e-14,0.0,2.2558488927576185e-18,0.0,7.6453729576655965e-28,none,none
52 0319,34.26666667,-118.85,1970.0,HWB5,concrete,ASK14,0.13846072574078,1351350.0,8.789372044655716e-07,1.0,0.9999999999783197,0.0,2.1680300689420175e-11,0.0,6.451051836443703e-17,0.0,7.785214570284839e-22,0.0,3.964413461936501e-32,none,none
52 0320,34.28166667,-118.75,1970.0,HWB3,concrete,ASK14,0.271247129561792,1351350.0,3.0158521567788994e-15,1.0,1.0,0.0,7.438716164856821e-20,0.0,1.4744635405140244e-24,0.0,8.483570285254347e-29,0.0,6.799818265174849e-38,none,none
52 0321,34.28166667,-118.7266667,1969.0,HWB5,concrete,ASK14,0.276239422915704,1351350.0,34.445892947782745,0.0,0.9991515271712533,1.0,0.0008477588739452018,0.0,7.13344984852264e-07,0.0,6.098165724209572e-10,0.0,5.816561730521907e-17,none,none
52 0322,34.28166667,-118.73,1969.0,HWB5,concrete,ASK14,0.275284433253135,1351350.0,32.46379267232928,0.0,0.9992003195710518,1.0,0.0007990259352440672,0.0,6.539463684954974e-07,0.0,5.473356093196866e-10,0.0,5.02808222216478e-17,none,none
52 0323,34.28166667,-118.735,1969.0,HWB5,concrete,ASK14,0.27852615728295,1351350.0,39.620583278962854,0.0,0.9990241576576836,1.0,0.0009749652074797572,0.0,8.763469877859167e-07,0.0,7.878487827714382e-10,0.0,8.217719233659195e-17,none,none
52 0324,34.28166667,-118.6716667,1968.0,HWB5,prestressed_concrete,ASK14,0.244502835308588,4791987.2,12.772753682720184,0.0,0.9999111986964437,1.0,8.877332702802273e-05,0.0,2.7965204328676333e-08,0.0,1.1323930723097148e-11,0.0,2.8685618699163953e-19,none,none
52 0325,34.18333333,-118.89,1968.0,HWB5,prestressed_concrete,ASK14,0.14724486702814,14297643.36,7.051175258813723e-05,1.0,0.9999999998356112,0.0,1.6438798209283626e-10,0.0,8.133488474025382e-16,0.0,1.4378385605680967e-20,0.0,1.4358747715793819e-30,none,none
52 0326,34.28166667,-118.76,1970.0,HWB5,concrete,ASK14,0.258680785843362,1351350.0,10.674195928265098,0.0,0.9997369210542696,1.0,0.00026294830939859197,0.0,1.305616417519041e-07,0.0,7.46901106236968e-11,0.0,3.491875188023866e-18,none,none
52 0327,34.28166667,-118.7433333,1969.0,HWB5,concrete,ASK14,0.274835285198732,1351350.0,31.56612107720444,0.0,0.9992224180781949,1.0,0.0007769537840547796,0.0,6.276176656674569e-07,0.0,5.200845620864455e-10,0.0,4.693834219387445e-17,none,none
52 0329,34.28166667,-118.7783333,1970.0,HWB5,prestressed_concrete,ASK14,0.247166079168031,13350231.895,44.102581501098655,1.0,0.9998899462773632,0.0,0.00011001587639857338,0.0,3.7829867141104065e-08,0.0,1.637113219750294e-11,0.0,4.665697308083455e-19,none,none
52 0330,34.28166667,-118.8633333,1993.0,HWB6,concrete,ASK14,0.131598174533489,1554052.5,2.0129849035892231e-10,1.0,0.9999999999999957,0.0,4.317711066609497e-15,0.0,3.1089361518389964e-25,0.0,1.561014524027448e-29,0.0,2.2276046431191127e-40,none,none
52 0331,34.28666667,-118.865,1993.0,HWB2,steel,ASK14,0.134210412681966,1985733.75,2.8129136539909943e-24,1.0,1.0,0.0,4.72187112003396e-29,0.0,8.213170569388764e-40,0.0,8.570842598123338e-46,0.0,2.892455339798676e-60,none,none
52 0332,34.29333333,-118.8416667,1993.0,HWB6,prestressed_concrete,ASK14,0.140839128387689,11038823.420625,1.9604465094848798e-08,1.0,0.9999999999999408,0.0,5.919853453873191e-14,0.0,1.0034992534602361e-23,0.0,6.847350824660826e-28,0.0,1.9352211353438906e-38,none,none
52 0334,34.29166667,-118.8583333,1993.0,HWB4,concrete,ASK14,0.130814106350352,1554052.5,1.528317493398209e-32,1.0,1.0,0.0,3.278130497269918e-37,0.0,1.1462018001890686e-43,0.0,2.425376734042462e-49,0.0,3.509837244889468e-61,none,none
52 0339,34.14666667,-118.8416667,1968.0,HWB5,concrete,ASK14,0.140531535895443,4535427.897,4.850951885364541e-06,1.0,0.999999999964348,0.0,3.56519713560366e-11,0.0,1.1994300602814999e-16,0.0,1.587232353564236e-21,0.0,9.509442082519901e-32,none,none
