structure_number,latitude,longitude,year_built,hwb_class,material,design_era,gmpe_model,sa1s_used,obs,replacement_cost_usd,vs30,nehrp_class,p_none,p_slight,p_moderate,p_extensive,p_complete,predicted_ds,repair_cost_usd
52 0312,34.24333333,-118.8366667,1970,HWB5,other,conventional,ASK14,0.137609309964585,none,1351350.0,473.3905131043576,C,0.9999999999823955,1.7604396247325214e-11,4.977653422971154e-17,5.781386988502437e-22,2.75170178334131e-32,none,7.136964075015672e-07
52 0313,34.22,-118.8483333,1970,HWB3,other,conventional,ASK14,0.173696978268056,none,1351350.0,353.9030910755851,CD,1.0,8.794502015893665e-30,1.4809802398703536e-35,1.1333552324344267e-40,1.9159092286664e-51,none,3.565351100717438e-25
52 0314,34.175,-118.8566667,1970,HWB3,other,conventional,ASK14,0.14369284361585,none,10522166.655,412.3538234761065,C,1.0,1.1798922342868619e-34,6.94503620922947e-41,2.2498548823828488e-46,7.350078959375796e-58,none,3.7245126634374566e-29
52 0315,34.17666667,-118.86,1970,HWB3,other,conventional,ASK14,0.139058639477879,none,1351350.0,422.4011743164076,C,1.0,1.5496530336669293e-35,7.605150875876631e-42,2.123349064118503e-47,5.22048694435557e-59,none,6.2823791029856574e-31
52 0316,34.17666667,-118.86,1970,HWB3,other,conventional,ASK14,0.137782811348868,none,12531663.144,422.4011743164076,C,1.0,8.715103359364274e-36,4.063906686844729e-42,1.0881841460530994e-47,2.4699110671987754e-59,none,3.2764462611757395e-30
52 0317,34.17666667,-118.86,1970,HWB1,other,conventional,ASK14,0.140173748993596,none,1726725.0,422.4011743164076,C,1.0,3.3233952980534523e-19,7.904302346406171e-24,8.186059031797505e-32,1.4224912248365462e-38,none,1.7216861122646908e-14
52 0318,34.205,-118.8483333,1970,HWB5,other,conventional,ASK14,0.164642896193536,none,9532464.942000002,376.8582133634278,C,0.9999999948633306,5.1366055506664924e-09,6.385872241828257e-14,2.2558488927576185e-18,7.6453729576655965e-28,none,0.001468984073836894
52 0319,34.26666667,-118.85,1970,HWB5,other,conventional,ASK14,0.13846072574078,none,1351350.0,455.3731384277344,C,0.9999999999783197,2.1680300689420175e-11,6.451051836443703e-17,7.785214570284839e-22,3.964413461936501e-32,none,8.789372044655716e-07
52 0320,34.28166667,-118.75,1970,HWB3,other,conventional,ASK14,0.271247129561792,none,1351350.0,291.0679199218748,CD,1.0,7.438716164856821e-20,1.4744635405140244e-24,8.483570285254347e-29,6.799818265174849e-38,none,3.0158521567788994e-15
52 0321,34.28166667,-118.7266667,1969,HWB5,other,conventional,ASK14,0.276239422915704,none,1351350.0,311.065552044768,CD,0.9991515271712533,0.0008477588739452018,7.13344984852264e-07,6.098165724209572e-10,5.816561730521907e-17,none,34.445892947782745
52 0322,34.28166667,-118.73,1969,HWB5,other,conventional,ASK14,0.275284433253135,none,1351350.0,305.7232080077987,CD,0.9992003195710518,0.0007990259352440672,6.539463684954974e-07,5.473356093196866e-10,5.02808222216478e-17,none,32.46379267232928
52 0323,34.28166667,-118.735,1969,HWB5,other,conventional,ASK14,0.27852615728295,none,1351350.0,299.4747094726561,CD,0.9990241576576836,0.0009749652074797572,8.763469877859167e-07,7.878487827714382e-10,8.217719233659195e-17,none,39.620583278962854
52 0324,34.28166667,-118.6716667,1968,HWB5,other,conventional,ASK14,0.244502835308588,none,4791987.2,430.7306829802829,C,0.9999111986964437,8.877332702802273e-05,2.7965204328676333e-08,1.1323930723097148e-11,2.8685618699163953e-19,none,12.772753682720184
52 0325,34.18333333,-118.89,1968,HWB5,other,conventional,ASK14,0.14724486702814,none,14297643.36,378.7160888672302,C,0.9999999998356112,1.6438798209283626e-10,8.133488474025382e-16,1.4378385605680967e-20,1.4358747715793819e-30,none,7.051175258813723e-05
52 0326,34.28166667,-118.76,1970,HWB5,other,conventional,ASK14,0.258680785843362,none,1351350.0,293.2244250488287,CD,0.9997369210542696,0.00026294830939859197,1.305616417519041e-07,7.46901106236968e-11,3.491875188023866e-18,none,10.674195928265098
52 0327,34.28166667,-118.7433333,1969,HWB5,other,conventional,ASK14,0.274835285198732,none,1351350.0,294.8938472545418,CD,0.9992224180781949,0.0007769537840547796,6.276176656674569e-07,5.200845620864455e-10,4.693834219387445e-17,none,31.56612107720444
52 0329,34.28166667,-118.7783333,1970,HWB5,other,conventional,ASK14,0.247166079168031,none,13350231.895,295.3236598880622,CD,0.9998899462773632,0.00011001587639857338,3.7829867141104065e-08,1.637113219750294e-11,4.665697308083455e-19,none,44.102581501098655
52 0330,34.28166667,-118.8633333,1993,HWB6,other,seismic,ASK14,0.131598174533489,none,1554052.5,463.5155605986308,C,0.9999999999999957,4.317711066609497e-15,3.1089361518389964e-25,1.561014524027448e-29,2.2276046431191127e-40,none,2.0129849035892231e-10
52 0331,34.28666667,-118.865,1993,HWB2,other,seismic,ASK14,0.134210412681966,none,1985733.75,453.1927502441928,C,1.0,4.72187112003396e-29,8.213170569388764e-40,8.570842598123338e-46,2.892455339798676e-60,none,2.8129136539909943e-24
52 0332,34.29333333,-118.8416667,1993,HWB6,other,seismic,ASK14,0.140839128387689,none,11038823.420625,457.2256429357518,C,0.9999999999999408,5.919853453873191e-14,1.0034992534602361e-23,6.847350824660826e-28,1.9352211353438906e-38,none,1.9604465094848798e-08
52 0334,34.29166667,-118.8583333,1993,HWB4,other,seismic,ASK14,0.130814106350352,none,1554052.5,476.3990215481011,C,1.0,3.278130497269918e-37,1.1462018001890686e-43,2.425376734042462e-49,3.509837244889468e-61,none,1.528317493398209e-32
52 0339,34.14666667,-118.8416667,1968,HWB5,other,conventional,ASK14,0.140531535895443,none,4535427.897,420.7503704393077,C,0.999999999964348,3.56519713560366e-11,1.1994300602814999e-16,1.587232353564236e-21,9.509442082519901e-32,none,4.850951885364541e-06
52 0341,34.27833333,-118.8716667,1970,HWB3,other,conventional,ASK14,0.129854564124244,none,5632126.500000003,461.6380680807222,C,1.0,2.0473223309097845e-37,6.871990040643483e-44,1.406359714833198e-49,1.909301575916703e-61,none,3.459236602520811e-32
52 0343,34.28166667,-118.7,1968,HWB5,other,conventional,ASK14,0.262017285229939,none,0.0,367.4225708007449,C,0.9996667427999528,0.00033307373189088267,1.833547030366106e-07,1.1345325491446928e-10,6.096451713514454e-18,none,0.0
52 0346,34.28166667,-118.77,1970,HWB3,other,conventional,ASK14,0.251295606917948,none,1351350.0,294.6650695800786,CD,1.0,2.0968321466194286e-21,2.7253928129835306e-26,1.1101057899541442e-30,4.594688992290226e-40,none,8.500957038272258e-17
52 0349,34.15333333,-118.8166667,1973,HWB5,other,conventional,ASK14,0.162730296680659,none,9510861.360000003,385.5990482974208,C,0.99999999636524,3.63471897865249e-09,4.10399340273497e-14,1.3485424203236026e-18,4.0221357084647603e-28,none,0.00103711047787201
52 0354,34.28333333,-118.7883333,1976,HWB6,other,seismic,ASK14,0.239060523152144,none,1486485.0,296.1392334622798,CD,0.9999990928139078,9.071859747405084e-07,1.1741873634763125e-13,8.696773630906243e-17,5.00692075313877e-25,none,0.04045556430547862
52 0355,34.28666667,-118.795,1976,HWB6,other,seismic,ASK14,0.191524370327274,none,1486485.0,377.9797570800066,C,0.9999999979681591,2.0318409239129136e-09,1.6455662248066012e-17,4.4950014202886e-21,2.7966087920108957e-30,none,9.060903363203867e-05
52 0368,34.26333333,-118.8466667,1970,HWB7,other,conventional,ASK14,0.138476422613296,none,0.0,459.7954271297259,C,1.0,4.266020111801629e-24,1.1927937584643339e-35,7.840839315215373e-45,3.7142492129677468e-59,none,0.0
52 0387,34.29,-118.7983333,1974,HWB5,other,conventional,ASK14,0.155625673987287,none,4695090.4,462.8884571750353,C,0.9999999990595938,9.403988239148104e-10,7.348475527627889e-15,1.8311250204826208e-19,3.3514405286435245e-29,none,0.0001324604850654963
52 0401,34.16166667,-118.8283333,1973,HWB5,other,conventional,ASK14,0.174996453452455,none,2330853.525,352.831379892553,CD,0.9999999704030202,2.9596371907529915e-08,6.077971157730972e-13,3.131864109925117e-17,2.0674932758214293e-26,none,0.002069657586770086
52 0411,34.18,-118.8833333,1982,HWB6,other,seismic,ASK14,0.138191054178589,none,1486485.0,406.1505816129221,C,0.9999999999999712,2.879027727819058e-14,3.841350442954031e-24,2.4056851839248806e-28,5.6163295394292905e-39,none,1.2838894600530317e-09
52 0412,34.18,-118.885,1982,HWB6,other,seismic,ASK14,0.140227472349368,none,1486485.0,404.2975903320489,C,0.9999999999999498,5.021861179605953e-14,8.058109788824466e-24,5.391350360444537e-28,1.4583966278325995e-38,none,2.2394763956284277e-09
52 0416,34.17833333,-118.86,1970,HWB5,other,conventional,ASK14,0.143460305320398,none,1351350.0,408.2320605469025,C,0.9999999999294756,7.052413599015965e-11,2.813806763981861e-16,4.232140914752838e-21,3.1780716055704464e-31,none,2.859114156041007e-06
52 0417,34.17833333,-118.86,1970,HWB5,other,conventional,ASK14,0.144210183207911,none,1351350.0,408.2320605469025,C,0.9999999999163427,8.36569394036609e-11,3.484765465684453e-16,5.413651961554397e-21,4.304115377033673e-31,none,3.3915318268255455e-06
52 0004,34.41333333,-118.7866667,1985,HWB6,other,seismic,ASK14,0.197330487320807,none,1486485.0,352.3875394864825,CD,0.9999999950448167,4.955183161638808e-09,5.835353231822662e-17,1.8235098279868972e-20,1.5314263519368654e-29,none,0.00022097417020696848
52 0029,34.265,-118.6683333,1962,HWB3,other,conventional,ASK14,0.165358911449595,none,3831828.0,621.2469346326168,BC,1.0,5.217810209803819e-31,6.690284768869552e-37,4.096752979085317e-42,4.521683102398755e-53,none,5.9981458873925e-26
