structure_number,latitude,longitude,year_built,hwb_class,material,design_era,gmpe_model,sa1s_used,obs,replacement_cost_usd,vs30,nehrp_class,p_none,p_slight,p_moderate,p_extensive,p_complete,predicted_ds,repair_cost_usd
53 0685,34.05333333,-118.2566667,1953,HWB5,other,conventional,ASK14,0.201518587396103,none,9591257.0754,310.573070984789,CD,0.9999987952364048,1.2046848829733805e-06,7.870258665934234e-11,9.697792798762833e-15,2.989114221691742e-23,none,0.34669368401617384
53 0686,34.055,-118.2566667,1952,HWB7,other,conventional,ASK14,0.202173723304331,none,1351350.0,315.4686660207846,CD,0.9999999999999999,1.605222671263835e-16,3.6775991437219184e-26,4.823267327791933e-34,1.3761932861594915e-46,none,6.507652974412929e-12
53 0687,34.425,-118.5816667,1964,HWB7,other,conventional,ASK14,0.445766822285629,extensive,1351350.0,327.4177287897983,CD,0.9999873330088976,1.2666964525163896e-05,2.6577000297028028e-11,1.7590889004345952e-16,2.5597985620912534e-25,none,0.5135279485781836
53 0688,34.43,-118.585,1964,HWB7,other,conventional,ASK14,0.429416618620279,none,10597894.8075,321.8602111816401,CD,0.9999945535730399,5.446419499432371e-06,7.460610411854936e-12,3.685351325768126e-17,3.586742452505731e-26,none,1.7316237534138221
53 0695,34.095,-118.4766667,1962,HWB7,other,conventional,ASK14,0.139685141366334,none,15770367.1125,628.3901762608584,BC,1.0,6.626094216528014e-24,2.050259776445592e-35,1.4437346797497079e-44,7.514412130079454e-59,none,3.1348781495256623e-18
53 0696,34.11,-118.3333333,1954,HWB3,other,conventional,ASK14,0.249122263917815,none,6022696.680000001,344.3794574342876,CD,1.0,1.3847724570083365e-21,1.7155323205265929e-26,6.718528578696912e-31,2.579442637087337e-40,none,2.5021020109762707e-16
53 0701,34.01333333,-118.4166667,1959,HWB5,other,conventional,ASK14,0.236065990738629,none,10127962.845,270.9653080925824,CD,0.9999565432893244,4.344640868292324e-05,1.0298631268176304e-08,3.3614646347442667e-12,5.811164786310263e-20,none,13.209061230264854
53 0703,34.02666667,-118.4283333,1959,HWB5,other,conventional,ASK14,0.218659351865744,none,5524318.799999999,316.3891647641468,CD,0.9999917434648443,8.255484876282745e-06,1.0500654238848938e-09,2.1398843379279572e-13,1.60634193249947e-21,none,1.3686422763830155
53 0704,34.035,-118.4366667,1959,HWB1,other,conventional,ASK14,0.24110489508126,moderate,44589555.4104,280.5329221123304,CD,0.9999999996561781,3.4366061734985565e-10,1.6128527249992633e-13,1.5237103045297338e-19,7.776393694808771e-25,none,0.000460285556976985
53 0706,34.03833333,-118.4383333,1959,HWB3,other,conventional,ASK14,0.248700084140021,none,8003978.482500001,281.5875584049547,CD,1.0,1.2767324751507349e-21,1.5669311201593417e-26,6.089671002532105e-31,2.303943920609591e-40,none,3.065782123353788e-16
53 0707,34.04333333,-118.2716667,1962,HWB1,other,conventional,ASK14,0.20785717160514,none,1726725.0,298.4655781878668,CD,0.9999999999975905,2.4089705298325704e-12,5.013509329444512e-16,1.381661978407057e-22,2.800717640095548e-28,none,1.2485814481857366e-07
53 0708,34.04666667,-118.445,1959,HWB3,other,conventional,ASK14,0.250408339038468,none,7961531.903325003,288.0071899414025,CD,1.0,1.771290414867423e-21,2.2577056176249846e-26,9.050151226786176e-31,3.632927069264609e-40,none,4.2307993607819214e-16
53 0710,34.055,-118.4516667,1957,HWB5,other,conventional,ASK14,0.240705018386517,none,11245619.385,309.6403076431467,CD,0.9999351918872657,6.47901249036812e-05,1.7981216527044212e-08,6.614092796880621e-12,1.4131119474096903e-19,none,21.87434792546778
53 0711,34.06,-118.455,1957,HWB3,other,conventional,ASK14,0.225921515495304,none,2513781.27,337.4382482910129,CD,1.0,1.1418736079273099e-23,8.240165389973729e-29,2.073711437077395e-33,3.416389251742058e-43,none,8.61142718976448e-19
53 0712,34.06666667,-118.4616667,1956,HWB7,other,conventional,ASK14,0.23687478732915,none,3741888.15,330.8708220000124,CD,0.9999999999999166,8.333694914857679e-14,1.2012412392748134e-22,5.5042012373590195e-30,8.715083870070968e-42,none,9.35512631024565e-09
53 0713,34.07166667,-118.4666667,1955,HWB7,other,conventional,ASK14,0.228388518324288,none,12400257.87,350.7393407398902,CD,0.9999999999999791,2.0855880025974147e-14,1.9687766695710533e-23,6.763736631229948e-31,7.217718550519928e-43,none,7.758548732366524e-09
53 0720,34.19666667,-118.605,1949,HWB3,other,conventional,ASK14,0.326964206783409,none,2085313.23,271.1845629882817,CD,0.9999999999999998,2.4988036712727137e-16,1.3879531636898228e-20,1.8567821690826204e-24,7.481835677279745e-33,none,1.5634681486301692e-11
53 0722,34.095,-118.31,1951,HWB4,other,conventional,ASK14,0.211615279702526,none,7498821.33,373.5116894531301,C,1.0,4.034486109599744e-25,2.0274100791878736e-30,3.7945803699607257e-35,3.5482059929950766e-45,none,9.076288780877876e-20
53 0724,34.10333333,-118.3183333,1977,HWB28,other,seismic,ASK14,0.239274059398299,none,14023130.18106,340.9828559342143,CD,1.0,1.9681846169033228e-22,1.951064403303319e-27,6.366723950929452e-32,1.7241912600139704e-41,none,8.280251633519801e-17
53 0726,33.80333333,-118.2066667,1947,HWB7,other,conventional,ASK14,0.157947271334963,none,6325759.439999999,220.216529916769,D,1.0,2.7417405931045895e-21,3.5520889631679975e-32,6.614575566027383e-41,1.3032493969377841e-54,none,5.203077431838524e-16
53 0727,33.82,-118.2066667,1949,HWB3,other,conventional,ASK14,0.146626129723735,none,9069738.678000003,247.0965993809313,D,1.0,4.069275314702805e-34,2.679267805682365e-40,9.512465762384996e-46,3.7027309246772885e-57,none,1.1072198554379967e-28
53 0728,34.105,-118.3266667,1953,HWB7,other,conventional,ASK14,0.251079480193162,none,1351350.0,329.9320899621547,CD,0.9999999999992892,7.107725151803721e-13,2.012597523047223e-21,1.4601535685695174e-28,4.339663489792389e-40,none,2.8815073369247814e-08
53 0729,34.11166667,-118.335,1954,HWB7,other,conventional,ASK14,0.235065988729372,none,1351350.0,365.0159020995718,C,0.9999999999999375,6.246194136388364e-14,8.237458330944107e-23,3.552887501367156e-30,5.177935400896967e-42,none,2.5322383427678774e-09
53 0730,34.31666667,-118.4883333,1975,HWB6,other,seismic,ASK14,0.550517552599179,moderate,45712010.14380001,344.7825800596957,CD,0.7265331367804428,0.2726684595615055,0.0007747043437996432,2.3698768508641096e-05,5.457434009218451e-10,none,377030.61964051664
53 0731,34.09833333,-118.3116667,1951,HWB5,other,conventional,ASK14,0.218720764656464,slight,11243653.6212,362.3691776394409,C,0.9999916909109765,8.308029638492592e-06,1.0591687313582456e-09,2.162170405913281e-13,1.6280459483214421e-21,none,2.8033315477709655
53 0732,34.1,-118.315,1977,HWB6,other,seismic,ASK14,0.234640897957657,slight,1486485.0,344.8571594238281,CD,0.9999994316787797,5.683211619998058e-07,5.829879700880659e-14,3.9707036090115674e-17,1.8959645498997906e-25,none,0.025344033422437403
53 0734,34.19,-118.18,1974,HWB3,other,conventional,ASK14,0.135922690632011,none,12644578.19625,598.1992919923866,BC,1.0,3.7152160760177435e-36,1.6066170462900133e-42,4.044801216012049e-48,8.159942521163973e-60,none,1.4093218308875192e-30
53 0738,34.08833333,-118.4716667,1962,HWB3,other,conventional,ASK14,0.15290633412623,none,7130668.545,562.8365337029398,BC,1.0,5.144527416728053e-33,4.273981927103735e-39,1.8352466698217628e-44,1.0276119398661184e-55,none,1.1005200330211806e-27
53 0739,34.12666667,-118.4733333,1959,HWB5,other,conventional,ASK14,0.258589042314478,moderate,23831451.39375,362.9308982101301,C,0.9997386516419918,0.0002612189512736434,1.2933290783886068e-07,7.382663830134653e-11,3.4382297086593707e-18,none,187.00381733373493
53 0740,34.14,-118.4683333,1962,HWB5,other,conventional,ASK14,0.267141804193873,moderate,12879987.12,363.7340681683343,C,0.9995270620194217,0.000472633747888012,3.040209025203152e-07,2.117877480774165e-10,1.4044753418801313e-17,none,182.93944233898918
53 0741,34.155,-118.4683333,1956,HWB15,other,conventional,ASK14,0.310346981313097,none,10382543.596425,324.2543926963359,CD,0.9999999999999996,0.0,0.0,4.151413060363051e-16,1.0885732183977172e-23,none,1.0775557901712766e-09
53 0742,34.05666667,-118.2533333,1951,HWB15,other,conventional,ASK14,0.200789910328937,none,1726725.0,314.4244791775636,CD,1.0,0.0,0.0,7.519329472160103e-25,3.1717553642831714e-34,none,3.2459535511806626e-19
53 0743,34.11333333,-118.245,1958,HWB4,other,conventional,ASK14,0.209764938577812,none,11765826.072,353.0314892578179,CD,1.0,2.554903180332096e-25,1.222989253228635e-30,2.199773354376716e-35,1.9063199257455234e-45,none,9.018279057477398e-20
53 0744,34.055,-118.255,1951,HWB5,other,conventional,ASK14,0.202393616662382,none,5941575.139500001,313.1368176269376,CD,0.9999986602701766,1.3396391364606148e-06,9.067542943502382e-11,1.1475748614019684e-14,3.708341960380826e-23,none,0.2388301151090586
53 0745,34.055,-118.2566667,1953,HWB28,other,conventional,ASK14,0.200360526920922,none,1426425.0,315.4686660207846,CD,1.0,2.2782035071957481e-26,8.460372700223622e-32,1.2363707908267524e-36,7.201950183480145e-47,none,9.749155862361092e-22
53 0746,34.05333333,-118.2566667,1953,HWB5,other,conventional,ASK14,0.202454360856803,none,6611885.28,310.573070984789,CD,0.9999986504037618,1.3495046589809594e-06,9.156757417796328e-11,1.1610127677706409e-14,3.7640685955159635e-23,none,0.26773155363510365
53 0747,34.05166667,-118.2583333,1953,HWB5,other,conventional,ASK14,0.204545239727717,none,1351350.0,306.7331759066295,CD,0.9999982672180555,1.732654061721049e-06,1.278655036852407e-10,1.7273075691916833e-14,6.264230645309111e-23,none,0.07025649110856737
53 0748,34.05166667,-118.26,1952,HWB1,other,conventional,ASK14,0.202710178582339,none,7667830.170000001,306.4011523437417,CD,0.9999999999990121,9.877332030183708e-13,1.7912936514380097e-16,4.007792506311678e-23,6.949564585800852e-29,none,2.273229963813088e-07
53 0749,34.05,-118.2616667,1953,HWB5,other,conventional,ASK14,0.207962443228119,none,12645445.3125,301.8445254923101,CD,0.999997421043386,2.5787386959023597e-06,2.178855329998877e-10,3.2599363476380746e-14,1.4164037933377825e-22,none,0.9784994984535492
53 0750,34.05,-118.2633333,1953,HWB3,other,conventional,ASK14,0.208757746621395,none,7382954.779200001,302.166979634643,CD,1.0,1.9873910979814803e-25,9.263272682448984e-31,1.630258358763044e-35,1.3551066803550388e-45,none,4.40190029676226e-20
53 0751,34.04833333,-118.265,1953,HWB5,other,conventional,ASK14,0.210135136222768,none,1351350.0,301.807220458985,CD,0.9999967015084632,3.2981881375153273e-06,3.033508818057146e-10,4.838900448779207e-14,2.354755651199454e-22,none,0.133743007193691
53 0752,34.04833333,-118.265,1953,HWB3,other,conventional,ASK14,0.205195233464899,none,7254735.988500002,301.807220458985,CD,1.0,8.055851521201863e-26,3.4136822583236732e-31,5.5573834740967306e-36,3.979718910484138e-46,none,1.753312091765029e-20
53 0755,34.14166667,-118.7416667,1949,HWB3,other,conventional,ASK14,0.180257794590242,none,6396750.359999999,385.9044643504969,C,1.0,7.10420518327692e-29,1.4691021791792773e-34,1.32992160570492e-39,3.099950267602395e-50,none,1.3633223301058093e-23
53 0756,34.03166667,-118.1866667,1965,HWB3,other,conventional,ASK14,0.142331195344384,none,1351350.0,384.2578219681715,C,1.0,6.56119211887572e-35,3.663391301523385e-41,1.1366098005861274e-46,3.4189742281005576e-58,none,2.6599440514102784e-30
53 0758,34.05666667,-118.2383333,1950,HWB7,other,conventional,ASK14,0.199409713935978,none,3482118.139500001,305.6130707523782,CD,0.9999999999999999,9.055024533671568e-17,1.7677942259693655e-26,2.079542012662507e-34,5.112166429201955e-47,none,9.459199559619125e-12
53 0763,34.15166667,-118.16,1971,HWB3,other,conventional,ASK14,0.15932167959459,none,14296957.675,427.2514636230425,C,1.0,5.925289028905276e-32,6.18219719533449e-38,3.1983272256368294e-43,2.557304852942338e-54,none,2.541415264795264e-26
53 0765,33.96333333,-118.1183333,1953,HWB3,other,conventional,ASK14,0.153654510936166,none,9532467.945,273.5971803334232,CD,1.0,6.892056321830444e-33,5.882855024710015e-39,2.582620773400177e-44,1.5085921445599421e-55,none,1.9709536652012017e-27
53 0769,34.055,-118.2383333,1950,HWB3,other,conventional,ASK14,0.19943003439408,none,1846484.64,304.9273445928819,CD,1.0,1.7774301392555815e-26,6.432784979809178e-32,9.204575511146746e-37,5.149867208806316e-47,none,9.846087380983764e-22
53 0771,34.03333333,-118.1816667,1965,HWB10,other,conventional,ASK14,0.131795808703847,none,27844004.5884,408.7368589517823,C,1.0,1.6992403926421534e-29,2.46177997092722e-40,2.3464492445406447e-46,1.6165607840126715e-56,none,1.4194097187405189e-23
53 0772,34.035,-118.18,1967,HWB7,other,conventional,ASK14,0.134561496113065,none,10132253.38125,409.0067480468743,C,1.0,9.844764286311647e-25,1.9701788706511138e-36,1.0320251972283595e-45,3.5828538018451967e-60,none,2.992489386843682e-19
53 0775,34.03666667,-118.175,1967,HWB3,other,conventional,ASK14,0.133205154197027,none,8478414.945,410.0661437988271,C,1.0,1.037813141128668e-36,4.0123039347060295e-43,9.217117777677208e-49,1.5607158879367827e-60,none,2.6397058552165563e-31
53 0776,33.97833333,-118.435,1932,HWB7,other,conventional,ASK14,0.202311675170431,none,0.0,300.1656274414328,CD,0.9999999999999999,1.6512134204335006e-16,3.8130737316774055e-26,5.0279723960284635e-34,1.445229752874468e-46,none,0.0
53 0780,34.11833333,-118.235,1976,HWB6,other,seismic,ASK14,0.176763343981663,none,11518607.1,419.4740686035298,C,0.9999999998335177,1.6648231665054542e-10,4.927350962959531e-19,9.376169527622198e-23,2.605448805651447e-32,none,5.7529332292182374e-05
53 0782,34.055,-118.2366667,1954,HWB3,other,conventional,ASK14,0.201477925185352,none,7698951.7605,306.6173697626,CD,1.0,3.0625314259938396e-26,1.1728619189698002e-31,1.7576936215794033e-36,1.0743928760158759e-46,none,7.07355675596434e-21
53 0783,34.10666667,-118.3283333,1953,HWB5,other,conventional,ASK14,0.259265788701909,none,1351350.0,327.9340648266586,CD,0.9997256473887535,0.0002742138757327962,1.3865508876369504e-07,8.042500104587055e-11,3.853412822190784e-18,none,11.131784524067987
53 0784,34.02,-118.18,1951,HWB5,other,conventional,ASK14,0.152682067066837,none,4911346.44,338.8175109862928,CD,0.9999999994803632,5.19633333682785e-10,3.4685320555311925e-15,7.678045266106841e-20,1.1402948405647866e-29,none,7.656434261192724e-05
53 0785,34.01666667,-118.1733333,1954,HWB28,other,conventional,ASK14,0.140134702834455,none,1426425.0,372.093934418097,C,1.0,2.503675228870575e-35,1.2823858776591564e-41,3.707789610777833e-47,9.746151975720814e-59,none,1.0713929448975557e-30
53 0787,34.055,-118.255,1951,HWB15,other,conventional,ASK14,0.201429510664606,none,4589062.978500001,313.1368176269376,CD,1.0,0.0,0.0,8.859610703632568e-25,3.8517515830496974e-34,none,1.0164327888666572e-18
53 0788,34.01666667,-118.1733333,1955,HWB1,other,conventional,ASK14,0.139204067343585,none,1726725.0,372.093934418097,C,1.0,2.4310936633767866e-19,5.5647003166806885e-24,5.438756156391639e-32,9.050098056670057e-39,none,1.2594259314278668e-14
53 0790,34.01666667,-118.1733333,1955,HWB5,other,conventional,ASK14,0.139065607985319,none,1351350.0,372.093934418097,C,0.9999999999748961,2.5103794708768382e-11,7.743991694748608e-17,9.601933579435868e-22,5.128619819647976e-32,none,1.0177287615897552e-06
53 0793,34.05,-118.2616667,1953,HWB3,other,conventional,ASK14,0.204398640209995,none,1351350.0,301.8445254923101,CD,1.0,6.562166628005603e-26,2.721507818314872e-31,4.353196194083427e-36,3.0141226309893176e-46,none,2.6603645849740067e-21
53 0794,34.04666667,-118.2666667,1953,HWB3,other,conventional,ASK14,0.205510528375798,none,10040529.824325,301.4030829302991,CD,1.0,8.734200012502991e-26,3.7327179798956746e-31,6.11915649567763e-36,4.440667016891439e-46,none,2.6309098558236338e-20
53 0795,34.04833333,-118.265,1953,HWB5,other,conventional,ASK14,0.209330832689402,none,1351350.0,301.807220458985,CD,0.9999969868995257,3.0128318667797133e-06,2.685657005162445e-10,4.183960824347388e-14,1.9526577567903166e-22,none,0.12217075853092328
53 0797,34.10666667,-118.3283333,1953,HWB3,other,conventional,ASK14,0.254202424404064,none,3375492.12,327.9340648266586,CD,1.0,3.621522096684358e-21,5.015957058394525e-26,2.1521664195313636e-30,9.839714826461898e-40,none,3.6674612586789294e-16
53 0801,34.10666667,-118.3283333,1952,HWB3,other,conventional,ASK14,0.251374585968272,none,0.0,327.9340648266586,CD,1.0,2.1284674157779066e-21,2.7713190020682665e-26,1.1304176742919527e-30,4.6914973823003905e-40,none,0.0
53 0809,34.07166667,-118.125,1953,HWB3,other,conventional,ASK14,0.127272798786294,none,1351350.0,427.7289428710767,C,1.0,5.630527399864739e-38,1.6906598346251452e-44,3.1586707724447568e-50,3.602799303047741e-62,none,2.2826457882913698e-33
53 0811,34.05666667,-118.24,1951,HWB3,other,conventional,ASK14,0.203776053823428,none,1439660.7225,303.8698510742291,CD,1.0,5.585759105506125e-26,2.2777806448593946e-31,3.5934516022646654e-36,2.4232087726184183e-46,none,2.4125056320071393e-21
53 0813,33.93,-118.09,1953,HWB5,other,conventional,ASK14,0.141403927453488,none,1744700.958,272.0318493652238,CD,0.9999999999562028,4.379699791913703e-11,1.5508191465544518e-16,2.132603834672611e-21,1.3672763917263725e-31,none,2.292401573466666e-06
53 0814,33.90333333,-118.0633333,1954,HWB5,other,conventional,ASK14,0.137267980710542,none,1351350.0,257.4901151368276,D,0.9999999999838157,1.6184187387838147e-11,4.4830187099010985e-17,5.127205096262181e-22,2.374852899787873e-32,none,6.561198954717355e-07
53 0815,33.84,-118.2083333,1954,HWB5,other,conventional,ASK14,0.138938347914796,none,6365336.877900001,275.306610742719,CD,0.9999999999756565,2.434349354907957e-11,7.452799804426682e-17,9.188502270480725e-22,4.858833547956447e-32,none,4.648674069873658e-06
53 0817,33.845,-118.205,1953,HWB5,other,conventional,ASK14,0.136649112657547,none,16223794.587,275.314785156262,CD,0.9999999999861178,1.388215615492172e-11,3.7042365544913694e-17,4.1192949524204095e-22,1.8158685159253668e-32,none,6.756685575552366e-06
53 0818,33.84833333,-118.205,1953,HWB7,other,conventional,ASK14,0.145303840229126,none,4528328.805000001,261.2232470703065,D,1.0,4.773233608303306e-23,2.3389933266278008e-34,2.250532620600168e-43,1.7958374868727635e-57,none,6.484431372526919e-18
53 0819,33.86333333,-118.1983333,1974,HWB5,other,conventional,ASK14,0.159343057073993,none,37057845.825,239.8506251474826,D,0.9999999980661018,1.9338798035972727e-09,1.835977950748176e-14,5.295743439884035e-19,1.2548686627911205e-28,none,0.002150017022990161
53 0820,33.87333333,-118.19,1953,HWB7,other,conventional,ASK14,0.157787973898222,none,10545349.815,242.5942785644536,D,1.0,2.6133478076673203e-21,3.3461829341789913e-32,6.181592602755261e-41,1.2047005182515535e-54,none,8.267600046316862e-16
53 0821,33.88166667,-118.19,1954,HWB3,other,conventional,ASK14,0.158032246636967,none,9252321.153075004,247.1848510742196,D,1.0,3.666928853003857e-32,3.6574121142062294e-38,1.823710565357591e-43,1.3590174186107853e-54,none,1.0178308090103609e-26
53 0822,33.88666667,-118.1883333,1958,HWB5,other,conventional,ASK14,0.157951770510248,none,8798707.4175,250.5264452778317,D,0.9999999985181737,1.481813212969634e-09,1.3086566747567135e-14,3.575055877236722e-19,7.69643626359566e-29,none,0.00039115043962531244
53 0824,33.90333333,-118.1833333,1990,HWB7,other,seismic,ASK14,0.156480799338084,none,31862562.63190001,253.9458716992556,D,1.0,1.7581685886075752e-21,2.0432650256719156e-32,3.534177771534966e-41,6.2940854779556055e-55,none,1.680592703210526e-15
53 0827,33.93,-118.1783333,1956,HWB1,other,conventional,ASK14,0.162104053125367,none,8538730.200000001,262.6484676572239,D,0.9999999999999998,1.7621526243298333e-16,9.343021030355952e-21,3.251522788069422e-28,1.3995941996980625e-34,none,4.51460196946838e-11
53 0828,33.93666667,-118.1733333,1955,HWB28,other,conventional,ASK14,0.159442923063682,none,48662563.95,265.3083284442374,D,1.0,6.197013953858229e-32,6.493023478231398e-38,3.370734866228471e-43,2.712987522933145e-54,none,9.046902912643743e-26
53 0829,33.93833333,-118.1716667,1957,HWB3,other,conventional,ASK14,0.160419950581638,none,4379995.62,264.6880964127452,D,1.0,8.878477133351773e-32,9.62295618509822e-38,5.135853671015641e-43,4.3584534822235144e-54,none,1.1666341006272404e-26
53 0830,33.94,-118.17,1957,HWB3,other,conventional,ASK14,0.162123422437559,none,0.0,263.7940441894531,D,1.0,1.6496436420971214e-31,1.8957698557151612e-37,1.0614106491610796e-42,9.871071935291624e-54,none,0.0
53 0831,33.95,-118.17,1957,HWB5,other,conventional,ASK14,0.166194897903126,none,9212333.129999999,261.7709350585938,D,0.999999993235341,6.7645682427726684e-09,9.085403315226303e-14,3.401481795853438e-18,1.277361376552094e-27,none,0.00186959065003468
53 0833,33.96333333,-118.1683333,1957,HWB7,other,conventional,ASK14,0.165524053309113,none,3129050.925,267.6019205994887,D,1.0,2.4727379539668013e-20,5.528908417277621e-31,1.4915876512863348e-39,4.881743830408073e-53,none,2.3211968947811295e-15
53 0834,33.96833333,-118.1683333,1957,HWB5,other,conventional,ASK14,0.164184008933001,none,8025217.2,270.286649562352,CD,0.9999999952692072,4.7307352330946446e-09,5.747611409661367e-14,1.9955827933851576e-18,6.559984207532169e-28,none,0.0011389922375060159
53 0835,33.97666667,-118.1666667,1957,HWB7,other,conventional,ASK14,0.165172381464621,none,3032429.399999999,274.1564073164236,CD,1.0,2.2404361994860324e-20,4.8869485560887e-31,1.2964036218433936e-39,4.1463192910983175e-53,none,2.0381893801622665e-15
53 0837,33.98666667,-118.1683333,1957,HWB3,other,conventional,ASK14,0.166292869381139,none,5884003.125000001,281.7382123431381,CD,1.0,7.231975653351992e-31,9.566835543027862e-37,6.00965496434801e-42,6.964803823200851e-53,none,1.2765935237190319e-25
53 0839,33.99666667,-118.175,1957,HWB7,other,conventional,ASK14,0.169266392485207,none,2408826.42,286.5673339843761,CD,1.0,6.928291826827985e-20,2.0097526866586562e-30,6.470778827995074e-39,2.6979630768324416e-52,none,5.0067157197672855e-15
53 0840,34.00166667,-118.175,1954,HWB5,other,conventional,ASK14,0.169145905074905,none,78474937.29075,290.382940673826,CD,0.9999999887272629,1.1272562088523192e-08,1.75007931298618e-13,7.306481453863908e-18,3.326044160342086e-27,none,0.02653950693234694
53 0841,34.005,-118.1766667,1955,HWB4,other,conventional,ASK14,0.16790059904069,none,7335506.178,295.3870346934852,CD,1.0,1.260822533514723e-30,1.759222844904415e-36,1.1543570053165301e-41,1.4541645282839973e-52,none,2.774641769231391e-25
53 0842,34.01166667,-118.175,1954,HWB1,other,conventional,ASK14,0.153972242079475,none,135556114.44375,327.6674865722425,CD,1.0,2.029033710474706e-17,8.1007967805647695e-22,1.8357763687842093e-29,5.731770198090337e-36,none,8.252316266110669e-11
53 0844,33.92,-118.0816667,1954,HWB3,other,conventional,ASK14,0.13982103481845,none,14419445.04,265.9659157930794,D,1.0,2.1781033019379977e-35,1.101848092185432e-41,3.1535845047151276e-47,8.129878068455043e-59,none,9.422124966665333e-30
53 0848,34.335,-118.505,1955,HWB3,other,conventional,ASK14,0.592016503199851,moderate,9800737.496550001,336.5803979492242,CD,0.9999998649001084,1.3490597441341062e-07,1.9354347696516416e-10,3.737452534446564e-13,2.5062751330320413e-19,none,0.039818006510452496
53 0849,34.33666667,-118.5066667,1955,HWB3,other,conventional,ASK14,0.588386733871348,none,5039481.447000001,336.1048169124322,CD,0.9999998853586153,1.1448223940629175e-07,1.5884694814475906e-10,2.9841348201283347e-13,1.8982171260914749e-19,none,0.017372350108075772
53 0850,34.00333333,-118.1766667,1954,HWB3,other,conventional,ASK14,0.16642242401045,none,1670628.96,293.1361981520957,CD,1.0,7.565413644756682e-31,1.0051208436499147e-36,6.336251091636626e-42,7.393037797902822e-53,none,3.791713172529455e-26
53 0857,34.045,-118.27,1953,HWB3,other,conventional,ASK14,0.206253810630513,none,4273509.24,300.2218566894518,CD,1.0,1.0560473426779487e-25,4.604290830682484e-31,7.672343745785216e-36,5.744639285359912e-46,none,1.3539241650467205e-20
53 0865,34.105,-118.3233333,1977,HWB7,other,seismic,ASK14,0.24811150596012,none,1486485.0,333.1710023953593,CD,0.999999999999538,4.619515943654514e-13,1.1396463180896912e-21,7.527813448162914e-29,1.967399655191466e-40,none,2.0600523608035243e-08
53 0866,34.11666667,-118.3366667,1954,HWB5,other,conventional,ASK14,0.2075465874023,none,1351350.0,430.7365874442024,C,0.9999975411505012,2.458645098158158e-06,2.043704069065353e-10,3.02022903212515e-14,1.2839183552658715e-22,none,0.09969680588129708
53 0867,34.06833333,-118.0216667,1956,HWB1,other,conventional,ASK14,0.148906811143988,none,13991031.054,290.0934000846437,CD,1.0,4.807328716153754e-18,1.5959545726457124e-22,2.7363692418152694e-30,6.934023580169316e-37,none,2.0179631930442583e-12
53 0868,34.49,-118.1966667,1965,HWB7,other,conventional,ASK14,0.122189344687498,none,1351350.0,500.0638467089588,C,1.0,6.117774908347856e-27,3.974116879160612e-39,9.698417179656906e-49,1.1837161131012074e-63,none,2.4801765367230586e-22
53 0869,34.015,-118.175,1955,HWB3,other,conventional,ASK14,0.147580175477174,none,4945941.0,354.7999084472772,CD,1.0,6.041505008327301e-34,4.1234660410985465e-40,1.50768723825058e-45,6.208122396024342e-57,none,8.964294512439629e-29
53 0871,34.48833333,-118.1616667,1965,HWB5,other,conventional,ASK14,0.124321118741116,none,1351350.0,467.4585868982468,C,0.9999999999995007,4.992684400395504e-13,6.08821919528048e-19,3.762592911913334e-24,5.886192597405525e-35,none,2.024065801321461e-08
53 0875,33.99833333,-118.1733333,1957,HWB15,other,conventional,ASK14,0.168318939343288,none,1726725.0,286.820856552661,CD,1.0,0.0,0.0,5.683464845649492e-29,4.481855515603692e-39,none,2.4534452096749229e-23
53 0877,33.99833333,-118.1766667,1957,HWB10,other,conventional,ASK14,0.168492273182827,none,5325129.81,287.9119770074469,CD,1.0,8.605911750925607e-24,1.477057827813295e-33,4.794354480168416e-39,2.198825213522306e-48,none,1.3748279168417456e-18
53 0879,34.11666667,-118.2366667,1976,HWB6,other,seismic,ASK14,0.181410052158047,none,8296013.325600001,410.8890303126372,C,0.9999999996194997,3.805003087944897e-10,1.5600050279076775e-18,3.336934843332394e-22,1.2035905368114634e-31,none,9.469907000065794e-05
53 0880,34.045,-118.27,1953,HWB3,other,conventional,ASK14,0.207029308236605,none,4029050.025,300.2218566894518,CD,1.0,1.2860349681133792e-25,5.724690892382315e-31,9.702789004382685e-36,7.504911817749704e-46,none,1.5544682191585374e-20
53 0881,34.05166667,-118.2216667,1955,HWB15,other,conventional,ASK14,0.151120979804864,none,1726725.0,397.970406752268,C,1.0,0.0,0.0,1.1786011561836203e-31,3.333373072039207e-42,none,5.0878002041034864e-26
53 0883,34.06833333,-118.0383333,1956,HWB3,other,conventional,ASK14,0.154112857773216,none,5033508.48,290.43479908855,CD,1.0,8.236108423302449e-33,7.147144867269588e-39,3.1803111484576145e-44,1.9063134839855226e-55,none,1.2436985257839333e-27
53 0886,34.11166667,-118.1783333,1940,HWB3,other,conventional,ASK14,0.154398539081221,none,1351350.0,418.0734705224041,C,1.0,9.199901408127313e-33,8.065895307514617e-39,3.61939547527274e-44,2.204616549398334e-55,none,3.729694750362229e-28
53 0887,34.04333333,-118.2716667,1953,HWB3,other,conventional,ASK14,0.209826840471713,none,5479994.52,298.4655781878668,CD,1.0,2.594501745801876e-25,1.2439738388316514e-30,2.2405088630932196e-35,1.9465884451305436e-45,none,4.2654111435654666e-20
