structure_number,latitude,longitude,year_built,hwb_class,material,design_era,sa1s_shakemap,obs,replacement_cost_usd,vs30,nehrp_class,p_none,p_slight,p_moderate,p_extensive,p_complete,predicted_ds,repair_cost_usd
52 0314,34.175,-118.8566667,1970,HWB3,other,conventional,0.2415,none,10522166.655,412.3538234761065,C,1.0,3.091271216008672e-22,3.225317947560091e-27,1.097510071056568e-31,3.2201837629845085e-41,none,9.75833280072846e-17
52 0315,34.17666667,-118.86,1970,HWB3,other,conventional,0.2929,none,1351350.0,422.4011743164076,C,1.0,2.324944044043156e-18,7.041012486773694e-23,5.731790024339952e-27,8.925220597698476e-36,none,9.426200785172438e-14
52 0316,34.17666667,-118.86,1970,HWB3,other,conventional,0.2929,none,12531663.144,422.4011743164076,C,1.0,2.324944044043156e-18,7.041012486773694e-23,5.731790024339952e-27,8.925220597698476e-36,none,8.741330740924949e-13
52 0317,34.17666667,-118.86,1970,HWB1,other,conventional,0.2929,none,1726725.0,422.4011743164076,C,0.9999998981393243,1.0172261737542371e-07,1.3805765300578465e-10,6.531989028110567e-16,1.116591653105141e-20,none,0.005288480884691267
52 0318,34.205,-118.8483333,1970,HWB5,other,conventional,0.3192,none,9532464.942000002,376.8582133634278,C,0.9921530706775321,0.007826121291739813,2.0765226871298605e-05,4.280383719871696e-08,1.953466298237052e-14,none,2254.004315839136
52 0319,34.26666667,-118.85,1970,HWB5,other,conventional,0.3001,none,1351350.0,455.3731384277344,C,0.9967797498575875,0.003215005421081136,5.2373012924510635e-06,7.420037128391663e-09,1.7372020700091549e-15,none,130.90662821060502
52 0320,34.28166667,-118.75,1970,HWB3,other,conventional,0.6362,none,1351350.0,291.0679199218748,CD,0.9999991375263438,8.60644596146164e-07,1.8241991517390545e-09,4.860893333807644e-12,6.043669890894672e-18,none,0.035089814972178536
52 0321,34.28166667,-118.7266667,1969,HWB5,other,conventional,0.7005,none,1351350.0,311.065552044768,CD,0.06502253236766564,0.5018577086791411,0.35604247671995903,0.07693784531942169,0.0001394369138125163,slight,85017.51990352872
52 0322,34.28166667,-118.73,1969,HWB5,other,conventional,0.7005,none,1351350.0,305.7232080077987,CD,0.06502253236766564,0.5018577086791411,0.35604247671995903,0.07693784531942169,0.0001394369138125163,slight,85017.51990352872
52 0323,34.28166667,-118.735,1969,HWB5,other,conventional,0.7005,none,1351350.0,299.4747094726561,CD,0.06502253236766564,0.5018577086791411,0.35604247671995903,0.07693784531942169,0.0001394369138125163,slight,85017.51990352872
52 0324,34.28166667,-118.6716667,1968,HWB5,other,conventional,0.5431,none,4791987.2,430.7306829802829,C,0.404614923110338,0.5205844693337335,0.0713076362621704,0.003492508132698436,4.631610596691675e-07,slight,106361.67885424358
52 0325,34.18333333,-118.89,1968,HWB5,other,conventional,0.2727,none,14297643.36,378.7160888672302,C,0.999320419582106,0.0006790647083502598,5.153024059146529e-07,4.071377599823078e-10,3.376263122984754e-17,none,291.86161463052366
52 0326,34.28166667,-118.76,1970,HWB5,other,conventional,0.534,none,1351350.0,293.2244250488287,CD,0.4376493897798923,0.49877462171189235,0.06087475111405052,0.00270093731396299,3.0008020179834953e-07,slight,27714.50356813542
52 0327,34.28166667,-118.7433333,1969,HWB5,other,conventional,0.6362,none,1351350.0,294.8938472545418,CD,0.15091493058642302,0.5911885440146147,0.22959840163546066,0.02827881339748253,1.9310366019091714e-05,slight,58368.241856922774
52 0329,34.28166667,-118.7783333,1970,HWB5,other,conventional,0.3832,none,13350231.895,295.3236598880622,CD,0.9334853218370701,0.06578996611375625,0.0007202390301712423,4.473004383531303e-06,1.4618901204867266e-11,none,27133.49687190701
52 0330,34.28166667,-118.8633333,1993,HWB6,other,seismic,0.3043,none,1554052.5,463.5155605986308,C,0.9998191683177454,0.00018083121646751208,4.647714726652127e-10,1.0156288012760876e-12,6.543695988625134e-20,none,8.430694297808092
52 0331,34.28666667,-118.865,1993,HWB2,other,seismic,0.3043,none,1985733.75,453.1927502441928,C,0.9999999999989844,1.0156288012760876e-12,6.543293454008013e-20,4.025346171118644e-24,9.549702163600147e-35,none,6.050306204156834e-08
52 0332,34.29333333,-118.8416667,1993,HWB6,other,seismic,0.2932,none,11038823.420625,457.2256429357518,C,0.999912418353582,8.75815037179471e-05,1.4243642900166682e-10,2.6356281130935247e-13,1.1713521387125387e-20,none,29.00402914745993
52 0334,34.29166667,-118.8583333,1993,HWB4,other,seismic,0.2932,none,1554052.5,476.3990215481011,C,1.0,2.4317091087467093e-18,7.40605529382332e-23,6.056899749906167e-27,9.515301423306339e-36,none,1.1337931846379853e-13
52 0339,34.14666667,-118.8416667,1968,HWB5,other,conventional,0.2087,none,4535427.897,420.7503704393077,C,0.999997194730313,2.8050256934895132e-06,2.4395622134393494e-10,3.7305260590052043e-14,1.6846714911754797e-22,none,0.3817483114286083
52 0341,34.27833333,-118.8716667,1970,HWB3,other,conventional,0.3043,none,5632126.500000003,461.6380680807222,C,1.0,1.2192393327900243e-17,4.557993339608923e-22,4.408822073451808e-26,9.549702163600147e-35,none,2.0602784784529137e-12
52 0343,34.28166667,-118.7,1968,HWB5,other,conventional,0.8052,none,0.0,367.4225708007449,C,0.013538504322896938,0.2851956652547022,0.46812045426175297,0.23149204537100251,0.001653330789645388,moderate,0.0
52 0346,34.28166667,-118.77,1970,HWB3,other,conventional,0.534,none,1351350.0,294.6650695800786,CD,0.9999999923792446,7.614515199540248e-09,6.232543383825396e-12,7.581551241760688e-15,2.096267256500249e-21,none,0.0003093726025822504
52 0349,34.15333333,-118.8166667,1973,HWB5,other,conventional,0.2942,none,9510861.360000003,385.5990482974208,C,0.9976267199049713,0.002369978747989613,3.297207652326088e-06,4.139385994317988e-09,7.816097243196297e-16,none,678.7347640257908
52 0354,34.28333333,-118.7883333,1976,HWB6,other,seismic,0.3832,none,1486485.0,296.1392334622798,CD,0.9921079574399302,0.007891704322287996,3.361815618984038e-07,2.0562185537131523e-09,1.3190521513312269e-15,none,351.9677454298812
52 0355,34.28666667,-118.795,1976,HWB6,other,seismic,0.4306,none,1486485.0,377.9797570800066,C,0.9664316256633866,0.03356257199927345,5.7433135344051485e-06,5.902368500806825e-08,1.2050591976513444e-13,none,1497.4127177384673
52 0368,34.26333333,-118.8466667,1970,HWB7,other,conventional,0.3001,none,0.0,459.7954271297259,C,0.9999999996995694,3.0043053530402105e-10,6.698155735426285e-18,1.9820865090162417e-24,4.046931322237855e-35,none,0.0
52 0387,34.29,-118.7983333,1974,HWB5,other,conventional,0.4306,none,4695090.4,462.8884571750353,C,0.8209913620215881,0.17436793198374612,0.0045835660793753,5.7139264682834226e-05,6.506076814953427e-10,none,26348.88823143617
52 0401,34.16166667,-118.8283333,1973,HWB5,other,conventional,0.2929,none,2330853.525,352.831379892553,CD,0.9977856349031998,0.002211391422948322,2.9700444521482132e-06,3.6293990610431805e-09,6.532100687275877e-16,none,155.18881878739285
52 0411,34.18,-118.8833333,1982,HWB6,other,seismic,0.2727,none,1486485.0,406.1505816129221,C,0.999980623729436,1.9376257679622542e-05,1.286724337764529e-11,1.7207326491043073e-14,3.7037862204770884e-22,none,0.8640770284585618
52 0412,34.18,-118.885,1982,HWB6,other,seismic,0.2727,none,1486485.0,404.2975903320489,C,0.999980623729436,1.9376257679622542e-05,1.286724337764529e-11,1.7207326491043073e-14,3.7037862204770884e-22,none,0.8640770284585618
52 0416,34.17833333,-118.86,1970,HWB5,other,conventional,0.2929,none,1351350.0,408.2320605469025,C,0.9977856349031998,0.002211391422948322,2.9700444521482132e-06,3.6293990610431805e-09,6.532100687275877e-16,none,89.97322569565726
52 0417,34.17833333,-118.86,1970,HWB5,other,conventional,0.2929,none,1351350.0,408.2320605469025,C,0.9977856349031998,0.002211391422948322,2.9700444521482132e-06,3.6293990610431805e-09,6.532100687275877e-16,none,89.97322569565726
52 0004,34.41333333,-118.7866667,1985,HWB6,other,seismic,0.3533,none,1486485.0,352.3875394864825,CD,0.9975993236028934,0.002400637934481454,3.82995440415997e-08,1.6308105391246337e-10,4.6605517283010835e-17,none,107.05998354140229
52 0029,34.265,-118.6683333,1962,HWB3,other,conventional,0.7282,none,3831828.0,621.2469346326168,BC,0.9999800383422335,1.9873938269222985e-05,8.729436653835009e-08,4.2512912136159013e-10,1.6796011461689953e-15,none,2.3117724155975727
52 0047,34.12666667,-118.8733333,1932,HWB5,other,conventional,0.1979,none,1351350.0,489.5753186020999,C,0.9999992310173871,7.689392940136071e-07,4.3314180084656074e-11,4.772639090273153e-15,1.2071523269284665e-23,none,0.031177867670715703
52 0082,34.27166667,-118.6983333,1965,HWB7,other,conventional,0.4897,none,1351350.0,545.0216425316476,C,0.9999086533623707,9.134607951734593e-05,5.581042586468395e-10,7.703480942334245e-15,3.081040887738913e-23,none,3.703276074810681
52 0085,34.27166667,-118.7383333,1911,HWB3,other,conventional,0.6649,none,450269.82,358.059673672976,CD,0.9999974740207533,2.51917868573756e-06,6.778561269254669e-09,2.1999592888909798e-11,3.991983332673217e-17,none,0.03427595498240917
52 0105,34.27333333,-118.7983333,1967,HWB3,other,conventional,0.3651,none,3751491.744,303.409812785561,CD,0.9999999999999798,2.0159899885770513e-14,2.055288151632832e-18,4.5222897339026425e-22,4.7242909538364005e-30,none,2.2695081952959626e-09
52 0115,34.27833333,-118.7016667,1962,HWB4,other,conventional,0.8052,none,665598.4335,452.2354487189198,C,0.9998441326688442,0.0001546942719973995,1.1641873116866225e-06,8.87176410657898e-09,8.266293684428473e-14,none,3.152394766556747
52 0117,34.26,-118.7466667,1962,HWB7,other,conventional,0.6336,none,0.0,482.1194165197463,C,0.9929301440937012,0.007069077154069878,7.786724691157108e-07,7.975984829240671e-11,5.059974874595997e-18,none,0.0
52 0118,34.26333333,-118.735,1968,HWB10,other,conventional,0.6649,none,26983474.0175,510.0774426269619,C,0.9991085782458444,0.0008912925716842663,1.2880681617677754e-07,3.75648568578438e-10,6.508351689659294e-15,none,721.7856851826667
52 0119,34.28666667,-118.6966667,1935,HWB7,other,conventional,0.8052,none,1351350.0,348.389548237471,CD,0.8953205163508302,0.10452361631801399,0.00015576640133585718,1.009297373355188e-07,8.266293684428473e-14,none,4254.313359417907
52 0120,34.28666667,-118.7233333,1979,HWB4,other,seismic,0.7572,none,1486485.0,304.9920889395777,CD,0.9999543583571485,4.539432540953923e-05,2.45892245697151e-07,1.425188425620061e-09,7.860376143480212e-15,none,2.0541103669681235
52 0122,34.27666667,-118.8733333,1952,HWB5,other,conventional,0.3043,none,1351350.0,467.2305296527735,C,0.9960343132043057,0.00395847587500091,7.199820132435823e-06,1.1100557914219636e-08,3.020844657562748e-15,none,161.26069955416833
52 0123,34.265,-118.7466667,1966,HWB5,other,conventional,0.6336,none,1351350.0,379.601338191893,C,0.15575908727078303,0.5929138771242108,0.22433047452883378,0.02697889473836185,1.7666337810432574e-05,slight,57427.299732688676
52 0124,34.25666667,-118.76,1965,HWB7,other,conventional,0.369,none,1351350.0,522.8260229492178,C,0.9999998743972729,1.2560269680775457e-07,3.029077942527034e-14,4.554713038976385e-20,8.65207179143436e-30,none,0.005091999404625744
52 0125,34.26666667,-118.76,1999,HWB10,other,seismic,0.6059,none,1985733.75,374.8553283691406,C,0.9998339087492242,0.00016608148736969153,9.745384843271817e-09,1.8021180709499652e-11,1.5384977190929328e-16,none,9.89536552739525
52 0141,34.18,-118.875,1939,HWB5,other,conventional,0.2929,none,1351350.0,438.6386352539217,C,0.9977856349031998,0.002211391422948322,2.9700444521482132e-06,3.6293990610431805e-09,6.532100687275877e-16,none,89.97322569565726
52 0148,34.27333333,-118.7783333,1971,HWB5,other,conventional,0.5834,none,1351350.0,301.7790486618808,CD,0.27448053626771207,0.5861249108397342,0.12974275622018389,0.009649098774227005,2.697898142877978e-06,slight,41051.50004914318
52 0150,34.28166667,-118.795,1981,HWB6,other,seismic,0.4306,none,1486485.0,293.4808996582037,CD,0.9664316256633866,0.03356257199927345,5.7433135344051485e-06,5.902368500806825e-08,1.2050591976513444e-13,none,1497.4127177384673
52 0169,34.17,-118.7683333,1975,HWB16,other,seismic,0.3437,none,1899397.5,358.6271954732239,CD,1.0,0.0,1.4455260445833718e-17,1.627127269250741e-21,1.8075987265459368e-28,none,2.19727548492342e-12
52 0171,34.26166667,-118.66,1974,HWB7,other,conventional,0.7282,none,0.0,604.3767480468672,BC,0.9606181497465315,0.039361888595702006,1.9955674126035658e-05,5.983638847038991e-09,1.6796011461689953e-15,none,0.0
52 0172,34.24166667,-118.9,1972,HWB5,other,conventional,0.2248,none,0.0,472.7716979980469,C,0.9999847025160641,1.529504598855368e-05,2.437358387667175e-09,5.890011566574144e-13,5.978788590276109e-21,none,0.0
52 0175,34.39666667,-118.795,1974,HWB5,other,conventional,0.3806,none,1351350.0,366.8967614746025,C,0.9377679397458926,0.061588113832985555,0.0006401300764045252,3.816333123767856e-06,1.1593638511212183e-11,none,2567.305427254855
