structure_number,latitude,longitude,year_built,hwb_class,material,design_era,sa1s_shakemap,obs,replacement_cost_usd,vs30,nehrp_class,p_none,p_slight,p_moderate,p_extensive,p_complete,predicted_ds,repair_cost_usd
53 0958,33.87333333,-118.2833333,1960,HWB7,other,conventional,0.1171,none,21488717.25,286.055346884722,CD,1.0,6.045528153205197e-28,2.3902927377209644e-40,4.16438942413701e-50,3.2048535870375413e-65,none,3.897319353338344e-22
53 0959,33.87,-118.2833333,1960,HWB3,other,conventional,0.1171,none,14298814.53,280.9407320323216,CD,1.0,2.3902922860808673e-40,4.520559570571272e-47,5.787469790361752e-53,3.2048535870375413e-65,none,1.0253508992460125e-34
53 0960,33.86,-118.2833333,1960,HWB4,other,conventional,0.1171,none,12311663.364,240.4541789767466,D,1.0,2.3902922860808673e-40,4.520559570571272e-47,5.787469790361752e-53,3.2048535870375413e-65,none,8.828546642804511e-35
53 0961,33.845,-118.2833333,1962,HWB5,other,conventional,0.1094,none,8064181.125,258.1900735594571,D,0.9999999999999961,3.9245160900098884e-15,1.656463877764774e-21,4.62136672631865e-27,1.7793232814900043e-38,none,9.494413259857923e-10
53 0962,33.84166667,-118.2866667,1962,HWB3,other,conventional,0.1094,none,4392428.04,265.8879710804426,D,1.0,2.4327048403139985e-42,3.154002220519039e-49,2.9655170928643897e-55,9.102215875363108e-68,none,3.2056453943931586e-37
53 0963,33.83166667,-118.2866667,1962,HWB28,other,conventional,0.1018,none,8868549.689999998,262.2142199793088,D,1.0,1.6695691947265508e-44,1.4513254149463335e-51,9.841626261847236e-58,1.617302933613716e-70,none,4.4419982389920164e-39
53 0964,33.82333333,-118.2883333,1962,HWB5,other,conventional,0.094,none,8868549.689999998,259.6663986502476,D,1.0,7.40815284282135e-18,8.857472374304728e-25,9.605712900859627e-31,6.997761882557211e-43,none,1.9709877763558777e-12
53 0965,33.81833333,-118.2883333,1962,HWB5,other,conventional,0.094,none,5062247.19,259.9795692388589,D,1.0,7.40815284282135e-18,8.857472374304728e-25,9.605712900859627e-31,6.997761882557211e-43,none,1.1250573860608196e-12
53 0966,33.80833333,-118.2883333,1962,HWB28,other,conventional,0.0944,none,7119087.4755,265.190259824472,D,1.0,7.848536217757361e-47,4.486752339448906e-54,2.1598953347118246e-60,1.843839482311325e-73,none,1.6762327321983804e-41
53 0967,33.80333333,-118.2883333,1962,HWB28,other,conventional,0.0944,none,7720127.415000002,268.9948797670722,D,1.0,7.848536217757361e-47,4.486752339448906e-54,2.1598953347118246e-60,1.843839482311325e-73,none,1.8177512657766855e-41
53 0979,34.48833333,-118.1366667,1965,HWB28,other,conventional,0.1816,none,4654977.327000001,582.5414520073494,BC,1.0,1.0746795481601722e-28,2.3155854489454947e-34,2.1678604405969285e-39,5.38857882814005e-50,none,1.500791302593357e-23
53 0980,34.5,-118.12,1965,HWB15,other,conventional,0.1491,none,3248555.310000001,647.7705322265625,BC,1.0,0.0,0.0,5.338115626224487e-32,1.328188676296431e-42,none,4.335290966172854e-26
53 0981,33.92333333,-118.28,1985,HWB15,other,seismic,0.1306,none,17674485.0282,322.5467700195325,CD,1.0,0.0,0.0,1.7316352328346444e-35,1.2207090810713144e-46,none,7.65144024947564e-29
53 0985,34.09166667,-118.2033333,1940,HWB3,other,conventional,0.1719,none,1351350.0,430.4661941816397,C,1.0,4.864764691753035e-30,7.733519784431799e-36,5.645833602497117e-41,8.721675651877219e-52,none,1.9722082906044448e-25
53 0986,34.10833333,-118.1833333,1940,HWB3,other,conventional,0.1516,none,1351350.0,426.2345014450687,C,1.0,3.0723795500367945e-33,2.4339035239933185e-39,1.0052424931118188e-44,5.225194627714961e-56,none,1.2455606627610493e-28
53 0996,34.33666667,-118.51,1955,HWB6,other,conventional,1.158,none,1351350.0,334.6317126464837,CD,0.0009178776294233026,0.2863224952561382,0.3496439444974174,0.3543997181941613,0.008715964422859846,extensive,180914.79798890988
53 0997,33.84166667,-118.1416667,1952,HWB5,other,conventional,0.139,none,0.0,240.1335106308717,D,0.9999999999752909,2.4709057826650994e-11,7.59252933177164e-17,9.38659201417797e-22,4.987757321385084e-32,none,0.0
53 1004,34.50833333,-118.1133333,1965,HWB5,other,conventional,0.1491,none,1351350.0,635.9483993713205,BC,0.9999999997545113,2.4548739281531423e-10,1.346945829202032e-15,2.5734365753520423e-20,2.9473999172686757e-30,none,9.952327272742983e-06
53 1005,34.51,-118.1116667,1965,HWB28,other,conventional,0.08,none,10322746.434,648.9290455537828,BC,1.0,3.749991508652642e-52,8.547687612635619e-60,1.9405048575235338e-66,3.937866992166816e-80,none,1.16130641479277e-46
53 1008,33.99833333,-118.1766667,1957,HWB5,other,conventional,0.192,none,1351350.0,287.9119770074469,CD,0.9999996430997664,3.568845421788687e-07,1.5689966308162602e-11,1.434174249227511e-15,2.6069548118085416e-24,none,0.014469974477597916
53 1010,34.02666667,-118.275,1956,HWB7,other,conventional,0.211,none,12194171.5896,302.4684997558602,CD,0.9999999999999991,9.213862127047913e-16,3.468155131547652e-25,6.37515494775755e-33,2.888318095452156e-45,none,3.370662476787475e-10
53 1011,34.32333333,-118.495,1955,HWB6,other,conventional,1.261,none,0.0,320.0527001953095,CD,0.00019881916261677013,0.16149552534646383,0.3080508598420141,0.5047509566686011,0.02550383898030421,extensive,0.0
53 1012,34.32333333,-118.4966667,1970,HWB3,other,conventional,1.261,none,11191123.944,319.2087880537331,CD,0.9134799271199765,0.07991804617183391,0.006252341121670195,0.00034954175769064203,1.4382882869332685e-07,none,33408.3916464901
53 1013,34.33333333,-118.505,1955,HWB3,other,conventional,1.172,none,2135187.054,335.775109863287,CD,0.9580477180093477,0.03972601969183685,0.0021398653434007127,8.637767572318028e-05,1.927969154055184e-08,none,2956.344800358839
53 1015,33.89833333,-118.055,1955,HWB28,other,conventional,0.1426,none,7544913.376000001,267.1437603759529,D,1.0,7.371658368792898e-35,4.159203039049971e-41,1.3015302520615811e-46,3.979638885052858e-58,none,1.6685582253909178e-29
53 1021,34.07166667,-118.055,1956,HWB3,other,conventional,0.1549,none,1351350.0,289.5498925781256,CD,1.0,1.1164567397955688e-32,9.965934637046127e-39,4.538222491173916e-44,2.8430872808987047e-55,none,4.526182220094161e-28
53 1022,34.07166667,-118.0516667,1956,HWB28,other,conventional,0.1549,none,1426425.0,289.4050112144536,CD,1.0,1.1164567397955688e-32,9.965934637046127e-39,4.538222491173916e-44,2.8430872808987047e-55,none,4.77763678787717e-28
53 1023,34.15,-118.1833333,1955,HWB3,other,conventional,0.064,slight,1351350.0,591.6709137431856,BC,1.0,8.547689496770375e-60,5.637009807155185e-68,4.643527278979947e-75,1.3574926555485884e-89,none,3.4652761213787946e-55
53 1024,34.14166667,-118.1866667,1955,HWB3,other,conventional,0.064,moderate,1351350.0,438.9016448063952,C,1.0,8.547689496770375e-60,5.637009807155185e-68,4.643527278979947e-75,1.3574926555485884e-89,none,3.4652761213787946e-55
53 1029,34.06833333,-118.03,1956,HWB3,other,conventional,0.1448,none,3344591.25,290.7879504394538,CD,1.0,1.8905269109782616e-34,1.1611823001692495e-40,3.894902497655649e-46,1.3599908405979704e-57,none,1.8969150362809225e-29
53 1030,34.06833333,-118.02,1956,HWB3,other,conventional,0.1349,none,0.0,289.9500048828127,CD,1.0,2.3087331910290102e-36,9.574317270454731e-43,2.3292459410914394e-48,4.401103505672723e-60,none,0.0
53 1031,34.065,-118.01,1956,HWB3,other,conventional,0.1349,none,5247472.23,299.4747937011719,CD,1.0,2.3087331910290102e-36,9.574317270454731e-43,2.3292459410914394e-48,4.401103505672723e-60,none,3.6345080112288816e-31
53 1032,34.065,-118.0083333,1956,HWB3,other,conventional,0.1277,none,3987887.903999999,301.2895959202888,CD,1.0,6.988763794162863e-38,2.1378738310490456e-44,4.0553876646693783e-50,4.762008293865504e-62,none,8.36112880011795e-33
53 1034,33.87333333,-118.29,1955,HWB3,other,conventional,0.1171,none,2370493.125,276.9221362304669,CD,1.0,2.3902922860808673e-40,4.520559570571272e-47,5.787469790361752e-53,3.2048535870375413e-65,none,1.699852286548429e-35
53 1039,34.11166667,-118.245,1958,HWB3,other,conventional,0.3039,none,41809031.26400001,349.8827685546821,CD,1.0,1.1522767502412429e-17,4.276529215628283e-22,4.1120720740124124e-26,8.806243281758785e-35,none,1.4454103212838736e-11
53 1040,34.115,-118.2416667,1958,HWB5,other,conventional,0.3039,none,9549720.18,379.3404544304799,C,0.9961109582779614,0.00388204344742208,6.987587122432621e-06,1.0687491267531476e-08,2.867322998434391e-15,none,1117.5367352898502
53 1041,34.07166667,-118.4666667,1956,HWB3,other,conventional,0.3627,none,1351350.0,350.7393407398902,CD,0.9999999999999843,1.5637071399157686e-14,1.537394115385609e-18,3.283664062962282e-22,3.24050643598866e-30,none,6.341010085950684e-10
53 1042,34.07166667,-118.4666667,1956,HWB5,other,conventional,0.3627,none,1351350.0,350.7393407398902,CD,0.9622296488142813,0.03749979025897727,0.00026935888943937293,1.2020351262954544e-06,2.1758087368103098e-12,none,1549.7861932958388
53 1044,34.01666667,-118.1733333,1955,HWB7,other,conventional,0.1674,none,11730979.26,372.093934418097,C,1.0,4.162884882513964e-20,1.0613196828404392e-30,3.130196832993843e-39,1.157453498967966e-52,none,1.465041486655768e-14
53 1045,33.85666667,-118.2833333,1961,HWB5,other,conventional,0.1094,none,1351350.0,235.200233347781,D,0.9999999999999961,3.9245160900098884e-15,1.656463877764774e-21,4.62136672631865e-27,1.7793232814900043e-38,none,1.5910202362560407e-10
53 1048,33.95333333,-118.105,1953,HWB3,other,conventional,0.1245,none,1308557.25,279.1718127441384,CD,1.0,1.3508679885970563e-38,3.589553461525616e-45,6.068596410099314e-51,5.718101766290861e-63,none,5.303068058543604e-34
53 1049,33.91666667,-118.0783333,1954,HWB5,other,conventional,0.1514,none,0.0,261.7158877323009,D,0.9999999996012413,3.987562120182146e-10,2.4827055915485238e-15,5.2158030528812133e-20,7.06334284543666e-30,none,0.0
53 1050,33.91333333,-118.075,1954,HWB5,other,conventional,0.1514,none,0.0,260.5379699707052,D,0.9999999996012413,3.987562120182146e-10,2.4827055915485238e-15,5.2158030528812133e-20,7.06334284543666e-30,none,0.0
53 1051,33.90833333,-118.0683333,1954,HWB5,other,conventional,0.153,none,0.0,254.737452576785,D,0.9999999994454378,5.545583745053597e-10,3.7657590880045614e-15,8.444210201890867e-20,1.2829554327907555e-29,none,0.0
53 1052,34.17166667,-118.5,1958,HWB7,other,conventional,0.5596,none,8708448.49875,283.6236145019511,CD,0.9989463302587644,0.0010536407137068135,2.902639499539065e-08,1.1337445896027892e-12,1.9004392368346617e-20,none,275.2875012026223
53 1053,34.17333333,-118.5083333,1958,HWB5,other,conventional,0.5596,none,4658914.26,288.9737225635906,CD,0.34787511706045915,0.5538246307774108,0.09288110549722421,0.005418164372008494,9.822928973551957e-07,slight,118339.91987922057
53 1054,34.17333333,-118.5166667,1959,HWB3,other,conventional,0.549,none,7007884.884000001,287.4835519653978,CD,0.9999999830798425,1.690404493089825e-08,1.6090355865898573e-11,2.216164162596504e-14,7.774917594950055e-21,none,0.0035629076040358497
53 1055,34.17333333,-118.525,1959,HWB3,other,conventional,0.5731,none,5215580.37,280.0891906738256,CD,0.9999999438178906,5.611451541678376e-08,6.748131303680903e-11,1.1267457286179005e-13,5.717397978565662e-20,none,0.00880839620544532
53 1056,34.17166667,-118.5316667,1959,HWB3,other,conventional,0.5731,none,7768955.294100001,280.1602697973563,CD,0.9999999438178906,5.611451541678376e-08,6.748131303680903e-11,1.1267457286179005e-13,5.717397978565662e-20,none,0.013120694434399978
53 1057,34.17333333,-118.5366667,1959,HWB3,other,conventional,0.5731,none,6876281.412,276.3881893534614,CD,0.9999999438178906,5.611451541678376e-08,6.748131303680903e-11,1.1267457286179005e-13,5.717397978565662e-20,none,0.011613091314904803
53 1058,34.175,-118.545,1959,HWB5,other,conventional,0.5777,none,5302922.625,268.2984130859375,D,0.2910822246176903,0.5801289962657536,0.12033489889224722,0.008451746075707867,2.1341486009827096e-06,slight,154557.5641208168
53 1059,34.175,-118.5533333,1959,HWB5,other,conventional,0.5777,none,6928258.8375,273.3035320427313,CD,0.2910822246176903,0.5801289962657536,0.12033489889224722,0.008451746075707867,2.1341486009827096e-06,slight,201929.17853907438
53 1060,34.175,-118.5616667,1959,HWB4,other,conventional,0.5572,none,5892136.25,281.5957710004903,CD,0.9999999742685378,2.5704898696788726e-08,2.652449440112666e-11,3.90429213762042e-14,1.5558189262864307e-20,none,0.004556263348860459
53 1061,34.17333333,-118.5716667,1959,HWB5,other,conventional,0.5572,none,7827458.388750001,304.9312530506442,CD,0.3558501183545747,0.5495226167506313,0.08953293352445446,0.0050934484347137255,8.829356258117617e-07,slight,195080.28747697079
53 1062,34.17,-118.5883333,1957,HWB6,other,conventional,0.5169,none,5724093.375,329.0701001071076,CD,0.8205356240323156,0.17920563135173437,0.00025289568326832,5.848860145713601e-06,7.253599659629313e-11,none,30897.871166513294
53 1063,34.17,-118.5966667,1957,HWB3,other,conventional,0.5386,none,5360355.0,292.9289481135116,CD,0.9999999902249362,9.766676499573729e-09,8.376695742971757e-12,1.0589374304456172e-14,3.151953953152892e-21,none,0.001574191951987192
53 1064,34.17,-118.605,1956,HWB3,other,conventional,0.5386,none,11379175.3075,307.0835278320703,CD,0.9999999902249362,9.766676499573729e-09,8.376695742971757e-12,1.0589374304456172e-14,3.151953953152892e-21,none,0.003341757437579765
53 1065,34.17,-118.6116667,1956,HWB3,other,conventional,0.5329,none,14114940.84,311.2663743015827,CD,0.9999999928238923,7.170297325131131e-09,5.803345277278294e-12,6.9944710357378e-15,1.8999615578777654e-21,none,0.003042827468167152
53 1066,34.16333333,-118.6233333,1957,HWB3,other,conventional,0.5329,none,4927995.072000001,341.4188650100008,CD,0.9999999928238923,7.170297325131131e-09,5.803345277278294e-12,6.9944710357378e-15,1.8999615578777654e-21,none,0.0010623522222338953
53 1067,34.15833333,-118.6383333,1957,HWB5,other,conventional,0.4452,none,7161994.839999999,304.9196072527993,CD,0.7741036027790287,0.2184461946190103,0.0073386747719744886,0.00011152601827074459,1.8117158041501626e-09,none,51339.77979565962
53 1068,34.11166667,-118.2633333,1961,HWB5,other,conventional,0.3514,none,13846607.775,366.2638043810093,C,0.9735307185984753,0.02632071268316254,0.00014802289590365604,5.458217558421503e-07,7.026964173192707e-13,none,11099.436199642405
53 1069,34.11166667,-118.265,1928,HWB7,other,conventional,0.3514,none,6113615.508,375.6299023437702,C,0.9999999668938983,3.3106097208668936e-08,4.552272273834239e-15,4.662503097429882e-21,5.228437430889678e-31,none,0.006071940705602733
53 1070,34.12,-118.27,1956,HWB3,other,conventional,0.3514,none,13360031.685,342.7208642578109,CD,0.9999999999999954,4.5519008625814175e-15,3.760041273207139e-19,6.962859908038747e-23,5.228437430889678e-31,none,1.8248082992564524e-09
53 1072,34.14,-118.28,1957,HWB3,other,conventional,0.3464,none,16342099.52375,339.1447204589767,CD,0.9999999999999974,2.582228285184875e-15,1.9712340026186326e-19,3.4218721118278205e-23,2.2704226608677695e-31,none,1.266228801505489e-09
53 1073,34.14,-118.2766667,1957,HWB5,other,conventional,0.3464,none,1351350.0,328.7661133085998,CD,0.9776292538792433,0.022258371092343562,0.00011199627819658402,3.7874979880356786e-07,4.178348031084143e-13,none,914.6011433622249
53 1074,34.15333333,-118.2816667,1967,HWB28,other,conventional,0.3342,none,1426425.0,324.1430675003915,CD,0.9999999999999993,6.115187414387568e-16,3.8319160034419933e-20,5.6584498609562606e-24,2.7546128250897346e-32,none,2.6172943393170152e-11
53 1075,34.155,-118.2866667,1957,HWB1,other,conventional,0.3342,none,65697468.71187501,344.2935694627151,CD,0.9999971384317189,2.853642643506978e-06,7.925526254856911e-09,1.1131542179678553e-13,4.310077354515909e-18,none,5.665969738220969
53 1077,34.16166667,-118.2916667,1957,HWB15,other,conventional,0.3258,none,1726725.0,338.3040125189153,CD,0.9999999999999971,0.0,0.0,2.9354580343144114e-15,1.2189697994886098e-22,none,1.2671824040579507e-09
53 1079,34.165,-118.295,1957,HWB28,other,conventional,0.3258,none,8324253.437499999,367.0984997558278,C,0.9999999999999998,2.1572840187695006e-16,1.1749391015035854e-20,1.5467155729332658e-24,6.043310344625986e-33,none,5.388116433821427e-11
53 1081,34.16833333,-118.2983333,1957,HWB5,other,conventional,0.3258,none,4352428.08,332.7140498218243,CD,0.9896559632141064,0.010311824603800122,3.213718331100138e-05,7.499873976434133e-08,4.2698090228085885e-14,none,1357.7158380138976
53 1082,34.17166667,-118.3016667,1957,HWB28,other,conventional,0.3258,none,8305547.249999999,335.0048586972415,CD,0.9999999999999998,2.1572840187695006e-16,1.1749391015035854e-20,1.5467155729332658e-24,6.043310344625986e-33,none,5.3760083070038507e-11
53 1083,33.94333333,-118.0966667,1965,HWB7,other,conventional,0.1245,none,1351350.0,282.6476753926713,CD,1.0,1.671207562198104e-26,1.3508683471706115e-38,3.823975940110231e-48,5.718101766290861e-63,none,6.775159017543827e-22
53 1084,34.10666667,-118.2533333,1961,HWB3,other,conventional,0.2652,none,6318912.600000001,346.1935885958794,CD,1.0,2.634055170569469e-20,4.609897150180438e-25,2.3953883230712926e-29,1.5798061877946528e-38,none,4.99354239606009e-15
53 1085,34.175,-118.3066667,1959,HWB1,other,conventional,0.3258,none,1726725.0,336.1575000697009,CD,0.9999984467317491,1.5495190973305746e-06,3.7491109055922356e-09,4.269667815848739e-14,1.4120695984940118e-18,none,0.08078571401621444
53 1086,34.17833333,-118.3083333,1959,HWB15,other,conventional,0.2651,none,6727665.945,341.3133028272615,CD,1.0,0.0,0.0,4.890994179394917e-19,2.882753141788764e-27,none,8.226243938419102e-13
53 1087,34.18,-118.31,1959,HWB3,other,conventional,0.3072,slight,7116479.37,343.269462890623,CD,1.0,1.8299519663777372e-17,7.208383575949385e-22,7.277585373398583e-26,1.7110228466257378e-34,none,3.9072551410264706e-12
53 1088,34.18333333,-118.3116667,1959,HWB5,other,conventional,0.3072,slight,9579179.610000001,347.4358396533094,CD,0.9954403973313098,0.004550665544723573,8.92255056421668e-06,1.4573397974778698e-08,4.394616259749964e-15,none,1314.6218354343619
53 1089,34.18666667,-118.315,1960,HWB5,other,conventional,0.3072,none,11539483.956,349.9199804687421,CD,0.9954403973313098,0.004550665544723573,8.92255056421668e-06,1.4573397974778698e-08,4.394616259749964e-15,none,1583.6489340241205
53 1095,34.16833333,-118.6133333,1957,HWB7,other,conventional,0.5329,moderate,4301732.184750001,308.0745256319917,CD,0.9995484831641634,0.00045150965972885017,7.175916114750819e-09,1.9155012862663834e-13,1.8999615578777654e-21,none,58.2706787649773
53 1096,34.11833333,-118.2683333,1956,HWB28,other,conventional,0.3514,none,1426425.0,345.9915944197126,CD,0.9999999999999954,4.5519008625814175e-15,3.760041273207139e-19,6.962859908038747e-23,5.228437430889678e-31,none,1.948312878022104e-10
53 1098,34.05333333,-118.4516667,1957,HWB10,other,conventional,0.3684,none,1726725.0,305.2589199448667,CD,0.9999999993860014,6.139983103031095e-10,2.661469757611931e-16,4.2258450540084503e-20,8.00019022436281e-27,none,3.180622375399724e-05
53 1099,34.055,-118.4516667,1957,HWB3,other,conventional,0.3684,none,1351350.0,309.6403076431467,CD,0.9999999999999716,2.846217366376503e-14,3.0489050116165294e-18,6.986254426136418e-22,7.887730729923109e-30,none,1.1542005984607453e-09
53 1100,34.05666667,-118.4516667,1957,HWB5,other,conventional,0.3684,none,1351350.0,314.021695341408,CD,0.9553593507534434,0.044280274793604524,0.0003586166124281869,1.7578367610807442e-06,3.762887326519862e-12,none,1834.50767326826
53 1101,34.05666667,-118.4516667,1957,HWB5,other,conventional,0.3684,none,1351350.0,314.021695341408,CD,0.9553593507534434,0.044280274793604524,0.0003586166124281869,1.7578367610807442e-06,3.762887326519862e-12,none,1834.50767326826
53 1102,34.16,-118.4633333,1959,HWB3,other,conventional,0.6947,none,1351350.0,289.157691167777,CD,0.9999929853202236,6.9907546197977745e-06,2.3831089332327784e-08,9.40670503629094e-11,2.484338068841968e-16,none,0.28601679878229896
53 1103,34.165,-118.4733333,1958,HWB3,other,conventional,0.6947,none,1351350.0,281.8946503681856,CD,0.9999929853202236,6.9907546197977745e-06,2.3831089332327784e-08,9.40670503629094e-11,2.484338068841968e-16,none,0.28601679878229896
53 1104,34.16666667,-118.4916667,1958,HWB3,other,conventional,0.5596,none,6896383.644150003,291.4880506146299,CD,0.9999999709724713,2.8996853170215583e-08,3.062960749710104e-11,4.5962267569923235e-14,1.9004392368346617e-20,none,0.006016180643469037
53 1106,34.14,-118.2666667,1957,HWB3,other,conventional,0.3398,none,3390266.880000001,320.9474104193619,CD,0.9999999999999988,1.196909101575379e-15,8.218826859345381e-20,1.308128996318864e-23,7.350988210930549e-32,none,1.2175754086370814e-10
53 1107,34.14,-118.2666667,1957,HWB15,other,conventional,0.3398,none,2145403.26,320.9474104193619,CD,0.9999999999999848,0.0,0.0,1.5233172736867545e-14,9.416149015385404e-22,none,8.170326632598367e-09
53 1108,34.14,-118.25,1957,HWB3,other,conventional,0.2923,none,2701618.919999999,336.0036132812366,CD,1.0,2.1248118678421063e-18,6.362532629138976e-23,5.131713437349433e-27,7.850408062632517e-36,none,1.722267130848907e-13
53 1109,34.195,-118.3266667,1960,HWB5,other,conventional,0.316,none,7607086.987500002,341.7910564375655,CD,0.9931748495666848,0.006808431835803546,1.668624207055343e-05,3.23554278218106e-08,1.3242510119540288e-14,none,1563.986225035898
53 1110,34.2,-118.335,1960,HWB5,other,conventional,0.316,none,38022304.32000001,336.4868530273462,CD,0.9931748495666848,0.006808431835803546,1.668624207055343e-05,3.23554278218106e-08,1.3242510119540288e-14,none,7817.231523488335
53 1111,34.20666667,-118.34,1960,HWB3,other,conventional,0.316,none,5760575.320499999,341.1106225585934,CD,0.9999999999999999,6.05129377618777e-17,2.7852496459456347e-21,3.1944131712991245e-25,9.586411798235903e-34,none,1.0458964106531948e-11
53 1112,34.21166667,-118.3466667,1960,HWB5,other,conventional,0.2266,none,9567413.856,354.7227502523189,CD,0.9999817919580651,1.8204945734020052e-05,3.095415257504566e-09,7.856341728153912e-13,8.698474979510004e-21,none,5.227598590529625
53 1113,34.21833333,-118.3533333,1960,HWB3,other,conventional,0.2266,none,4263238.98,420.8912076786027,C,1.0,1.327593575847195e-23,9.740593226975002e-29,2.4847979845671172e-33,4.201299476384062e-43,none,1.6979878284745135e-18
53 1114,34.22333333,-118.365,1961,HWB5,other,conventional,0.3849,none,10652201.0595,374.5482287600029,C,0.9305806981406345,0.06863717402526726,0.0007771713500234648,4.956467087598632e-06,1.698714737313237e-11,none,22609.595676382753
53 1115,34.30333333,-118.4783333,1963,HWB5,other,conventional,1.009,slight,10957826.88,419.1130173880734,C,0.00042111850188153443,0.048422955120799305,0.2958836587573245,0.6200909894891913,0.03518127813080341,extensive,2359520.446861741
53 1116,34.22666667,-118.3733333,1961,HWB28,other,conventional,0.3701,none,5681345.670000001,343.7255718438322,CD,0.999999999999966,3.3928914290800087e-14,3.727699584099209e-18,8.720744787912386e-22,1.024515038961047e-29,none,5.78455221544564e-09
53 1117,34.22666667,-118.38,1961,HWB3,other,conventional,0.4442,slight,13989391.416,330.6190234375038,CD,0.9999999999763868,2.360614984367304e-11,7.062939251011328e-15,3.7579687805743056e-18,2.1302201920857255e-25,none,9.914987740302097e-06
53 1118,34.22833333,-118.3866667,1961,HWB3,other,conventional,0.4442,none,9101252.16,328.2872780176008,CD,0.9999999999763868,2.360614984367304e-11,7.062939251011328e-15,3.7579687805743056e-18,2.1302201920857255e-25,none,6.450516745466834e-06
53 1119,34.23,-118.3916667,1963,HWB3,other,conventional,0.4953,none,5236515.033749999,327.0507972036128,CD,0.9999999992051052,7.944630907053195e-10,4.31304242098293e-13,3.7433322315957806e-16,5.419122700103863e-23,none,0.0001249877100896377
53 1120,34.23333333,-118.4033333,1963,HWB5,other,conventional,0.4953,none,8443631.196,321.6154818040789,CD,0.586764333502497,0.384623318311845,0.027818513722666433,0.0007937945068354837,3.9956156121978793e-08,none,117895.6294901415
53 1121,34.235,-118.4083333,1963,HWB10,other,conventional,0.4953,none,1726725.0,318.7642308729507,CD,0.9999978525184765,2.1474640311806563e-06,1.748034279833039e-11,1.1990492617270862e-14,2.1953143572432774e-20,none,0.11124481475291477
53 1122,34.22,-118.4083333,1963,HWB3,other,conventional,0.4698,moderate,1351350.0,318.8766396684344,CD,0.999999999850471,1.494680770667709e-10,6.07781117319401e-14,4.1601490335467245e-17,3.821039429695567e-24,none,6.066095232977196e-06
53 1124,34.245,-118.42,1963,HWB5,other,conventional,0.5797,none,10401431.04,320.4190270996052,CD,0.28518522021569237,0.5823585340781583,0.12359647978227306,0.008857447605584885,2.3183182913348006e-06,slight,307623.93132526113
53 1126,34.25666667,-118.4333333,1963,HWB10,other,conventional,0.6776,moderate,17574036.48,335.1174114411908,CD,0.9987756335740452,0.0012241533974551963,2.1234909515244046e-07,6.793908806491085e-10,1.3592927429993232e-14,none,645.7010255282959
53 1127,34.26166667,-118.4383333,1963,HWB3,other,conventional,0.7417,none,12363681.33,334.3938225852789,CD,0.9999704125897361,2.94439144169048e-05,1.4274136137717774e-07,7.544822023573586e-10,3.4874130694358905e-15,none,11.064572032623374
53 1128,34.26333333,-118.44,1963,HWB5,other,conventional,0.7417,moderate,13814769.969,334.1794091796896,CD,0.035955857603490626,0.4173491894970769,0.41939690290554366,0.12689168197404865,0.0004063680198401886,moderate,1080335.960717207
53 1130,34.27333333,-118.4483333,1963,HWB5,other,conventional,0.8551,moderate,16371154.8,381.5460515370644,C,0.006018726424693477,0.19762309343616968,0.4619921554756018,0.33018453160150496,0.004181493062030084,moderate,2121958.5452021444
53 1132,34.27833333,-118.4533333,1963,HWB3,other,conventional,0.9942,moderate,9583319.245500002,364.0888064259245,C,0.994630974048067,0.005246236764963387,0.00012044685129145103,2.3422048700569645e-06,1.3080812787165736e-10,none,1606.2460807550776
53 1133,34.29333333,-118.4683333,1963,HWB3,other,conventional,1.021,slight,19659304.665,472.7433417260767,C,0.9921993755367248,0.007595832512678853,0.00020040630436627077,4.385339575064532e-06,3.0665505335136447e-10,none,4816.6106643943795
53 1134,34.22666667,-118.3783333,1961,HWB7,other,conventional,0.4442,none,48294334.088,331.5199166991491,CD,0.9999882846969569,1.1715279429875493e-05,2.3613064498615188e-11,1.5204227764564114e-16,2.1302201920857255e-25,none,16.973539793634192
53 1135,33.855,-118.2783333,1961,HWB3,other,conventional,0.1094,none,9588006.6282,224.0205839151155,D,1.0,2.4327048403139985e-42,3.154002220519039e-49,2.9655170928643897e-55,9.102215875363108e-68,none,6.997439459270095e-37
53 1137,33.85833333,-118.285,1961,HWB5,other,conventional,0.1094,none,19295818.542,240.1549621581886,D,0.9999999999999961,3.9245160900098884e-15,1.656463877764774e-21,4.62136672631865e-27,1.7793232814900043e-38,none,2.2718050671881103e-09
53 1138,33.85833333,-118.2816667,1961,HWB3,other,conventional,0.1094,none,7062155.1,228.7410547195482,D,1.0,2.4327048403139985e-42,3.154002220519039e-49,2.9655170928643897e-55,9.102215875363108e-68,none,5.154043450374921e-37
53 1139,33.85666667,-118.2816667,1961,HWB3,other,conventional,0.1094,none,1351350.0,231.3038138934247,D,1.0,2.4327048403139985e-42,3.154002220519039e-49,2.9655170928643897e-55,9.102215875363108e-68,none,9.862310467613705e-38
53 1140,33.85666667,-118.2816667,1961,HWB5,other,conventional,0.1094,none,12861824.976,231.3038138934247,D,0.9999999999999961,3.9245160900098884e-15,1.656463877764774e-21,4.62136672631865e-27,1.7793232814900043e-38,none,1.5142948763828293e-09
